variable_name,description
YESTSALC,How many of the students in your grade at school would you say drink alcoholic beverages?
YOPBNUM,"In your entire life, how many times did you feel [FEELNOUN] for two weeks or longer while also having some of the other problems we asked about? If you are not sure of your answer, just make your best guess."
YESTSCIG,"How many of the students in your grade at school would you say smoke cigarettes? Please think about the school you would be attending if you were not home-schooled, as you answer these next questions. How many of the students in your grade at school would you say smoke cigarettes?"
YOPBRMBR,Think of the very first period of time in your life lasting two weeks or longer when you [FEELFILL] and also had some of the other problems we just asked about. Can you remember your exact age?
YESTSDNK,How many of the students in your grade at school would you say get drunk at least once a week?
YOPSDAYS,"NOTE: Beginning with the 2008 survey, respondents who answered ""don't know"" or ""refused"" to questions corresponding to the variables YOPSHMGT, YOPSWORK, YOPSRELS, and YOPSSOC are no longer asked the question corresponding to YOPSDAYS unless they entered a response of 1 to 10 in at least one of the other questions corresponding to YOPSHMGT through YOPSSOC. About how many days out of 365 in the past 12 months were you totally unable to go to school or work or carry out your normal activities because of your [FEELNOUN]? You can use any number between 0 and 365 to answer."
YESTSMJ,How many of the students in your grade at school would you say use marijuana or any cannabis product?
YOPSHMGT,"NOTE: Beginning with the 2008 survey, the questions corresponding to the variables YOPSHMGT, YOPSWORK, YOPSRELS, and YOPSSOC no longer allow respondents to choose the category 95 (ACTIVITY DOES NOT APPLY). Think about the time in the past 12 months when [NUMPROBS] with your mood [WASWERE] the worst. Using the 0 to 10 scale shown below, where 0 means no problems and 10 means very severe problems, select the number that describes how much your [FEELNOUN] caused problems with your ability to do each of the following activities during that time. You can use any number between 0 and 10 to answer. How much did your [FEELNOUN] cause problems with your chores at home?"
YETCGJOB,"During the past 12 months, how often did your teachers at school let you know when you were doing a good job with you school work?"
YOPSRELS,How much did your [FEELNOUN] cause problems with your ability to get along with your family during that time? You can use any number between 0 and 10 to answer.
YETLKBGF,
YOPSSOC,How much did your [FEELNOUN] cause problems with your social life during that time? You can use any number between 0 and 10 to answer.
YETLKNON,"NOTE: In the variables YETLKPAR, YETLKBGF, YETLKOTA and YETLKSOP, codes of 11 were assigned if the respondent indicated that there was no one that he/she could talk to about a serious problem but the respondent also indicated 1 or more people that he/she could talk to about a serious problem. If you wanted to talk to someone about a serious problem, which of the following people would you turn to?"
YOPSWORK,"During that time in the past 12 months when your [FEELNOUN] was worst, how much did this cause problems with your ability to do well at school or work? You can use any number between 0 and 10 to answer."
YETLKOTA,
YOPSYCH,
YETLKPAR,
YOPSYMD,
YETLKSOP,
YORELIG,
YEVIOPRV,"During the past 12 months have you participated in a violence prevention program, where you learn ways to avoid fights and control anger?"
YORX12MO,"During the past 12 months, did you take prescription medication that was prescribed for [NUMPROBS]?"
YEYARGUP,"During the past 12 months, how many times have you argued or had a fight with at least one of your parents?"
YORXHLP,"During the past 12 months, how much has this prescription medication helped you?"
YEYATTAK,"During the past 12 months, how many times have you attacked someone with the intent to seriously hurt them?"
YORXNOW,Are you currently taking prescription medication that was prescribed for [NUMPROBS]?
YEYFGTGP,"During the past 12 months, how many times have you taken part in a fight where a group of your friends fought against another group?"
YOSEEDOC,"Here is a list of professionals some people talk to about the problems we have been asking about: - General practitioner or family doctor - Other medical doctor like a cardiologist, gynecologist, urologist - Psychologist - Psychiatrist or psychotherapist - Social Worker - Counselor - Other mental health professional, like a mental health nurse - A nurse, occupational therapist, or other health professional - A religious or spiritual advisor like a minister, priest, or rabbi - Another healer, like an herbalist, chiropractor, acupuncturist, or massage therapist At any time in the past 12 months, did you see or talk to a medical doctor or other professional about your [FEELNOUN]?"
YEYFGTSW,"During the past 12 months, how many times have you gotten into a serious fight at school or work?"
YOSELL2,
YEYHGUN,"During the past 12 months, how many times have you carried a handgun?"
YOSOCWRK,
YEYSELL,"During the past 12 months, how many times have you sold illegal drugs?"
YOSTOLE2,
YEYSTOLE,"During the past 12 months, how many times have you stolen or tried to steal anything worth more than $50?"
YOTMTHLP,"During the past 12 months, how much has treatment or counseling helped you?"
YFLADLY2,
YOTMTNOW,Are you currently receiving treatment or counseling for [NUMPROBS] with your mood?
YFLMJMO,
YOWRAGE,How old were you when that worst period of time started? Then think of the most recent time you [FEELFILL] for two weeks or longer and you had these other problems at the same time. How old were you when that time started?
YFLPKCG2,
YOWRCHR,"Again, think of times lasting two weeks or longer when [NUMPROBS] with your mood [WASWERE] most severe and frequent. How often, during those times, did you feel so bad that nothing could cheer you up?"
YFLTMRJ2,
YOWRCONC,"On most days, did you have a lot more trouble than usual keeping your mind on things?"
YHBCHMDE,
YOWRDCSN,Were you unable to make up your mind about things you ordinarily have no trouble deciding about?
