"","Think of times lasting two weeks or longer when [NUMPROBS] with your mood [WASWERE] most severe and frequent. During those times, how","",""
"<s>long did your [FEELNOUN] usually last?</s>","","",""
"(YD16)","","",""
"YOWRHRS<s>1</s>","Len : 2    TIME THAT MOST SEVERE/FREQUENT MOOD LASTED","",""
"","","Freq","Pct"
"","1 = Less than 1 hour ............................................................................................................","459","0.78"
"","2 = At least 1 hour but no more than 3 hours ......................................................................","1138","1.93"
"","3 = At least 3 hours but no more than 5 hours .....................................................................","1178","1.99"
"","4 = 5 hours or more .............................................................................................................","1775","3.00"
"","85 = BAD DATA Logically assigned .................................................................................","4","0.01"
"","94 = DON'T KNOW ...........................................................................................................","80","0.14"
"","97 = REFUSED ..................................................................................................................","14","0.02"
"","98 = BLANK (NO ANSWER) ...........................................................................................","278","0.47"
"","99 = LEGITIMATE SKIP ...................................................................................................","54143","91.66"
"S","till thinking of times lasting two weeks or longer when [NUMPROBS] with your mood [WASWERE] most severe and frequent, how strong were","",""
"<s>your bad feelings during those times?</s>","","",""
"(YD17)","","",""
"YOWRDST<s>1</s>","Len : 2    HOW STRONG WERE BAD FEELINGS DURING 2 WKS","",""
"","","Freq","Pct"
"","1 = Mild ..............................................................................................................................","447","0.76"
"","2 = Moderate .......................................................................................................................","1689","2.86"
"","3 = Severe ...........................................................................................................................","1407","2.38"
"","4 = Very Severe ..................................................................................................................","565","0.96"
"","94 = DON'T KNOW ...........................................................................................................","55","0.09"
"","97 = REFUSED ..................................................................................................................","22","0.04"
"","98 = BLANK (NO ANSWER) ...........................................................................................","282","0.48"
"","99 = LEGITIMATE SKIP ...................................................................................................","54602","92.44"
"A","gain, think of times lasting two weeks or longer when [NUMPROBS] with your mood [WASWERE] most severe and frequent.","",""
"H<s>ow often, during those times, did you feel so bad that nothing could cheer you up? </s>","","",""
"(YD18)","","",""
"YOWRCHR<s>1</s>","Len : 2    BAD FEELINGS SO SEVERE NOTHING COULD CHEER YOU UP","",""
"","","Freq","Pct"
"","1 = Often .............................................................................................................................","1144","1.94"
"","2 = Sometimes ....................................................................................................................","1936","3.28"
"","3 = Not very often ...............................................................................................................","839","1.42"
"","4 = Never ............................................................................................................................","217","0.37"
"","94 = DON'T KNOW ...........................................................................................................","31","0.05"
"","97 = REFUSED ..................................................................................................................","17","0.03"
"","98 = BLANK (NO ANSWER) ...........................................................................................","283","0.48"
"","99 = LEGITIMATE SKIP ...................................................................................................","54602","92.44"
"O","nce again, please think of times lasting two weeks or longer when [NUMPROBS] with your mood [WASWERE] most severe and frequent.","",""
"H<s>ow often, during those times, did you feel so bad that you could not carry out your daily activities?</s>","","",""
"(YD19)","","",""
"YOWRIMP<s>1</s>","Len : 2    MOOD SO SEVERE COULDN'T DO DLY ACTIVITIES","",""
"","","Freq","Pct"
"","1 = Often .............................................................................................................................","1084","1.84"
"","2 = Sometimes ....................................................................................................................","1569","2.66"
"","3 = Not very often ...............................................................................................................","980","1.66"
"","4 = Never ............................................................................................................................","495","0.84"
"","94 = DON'T KNOW ...........................................................................................................","39","0.07"
"","97 = REFUSED ..................................................................................................................","17","0.03"
"","98 = BLANK (NO ANSWER) ...........................................................................................","283","0.48"
"","99 = LEGITIMATE SKIP ...................................................................................................","54602","92.44"
