"S","<s>ince the beginning of the COVID-19 pandemic, how much, if at all, has COVID-19 negatively affected your emotional or mental health?</s>","",""
"(COV1)","","",""
"CONEGMH","Len : 2    HOW COVID-19 NEGATIVELY AFFECTED MENTAL HEALTH","",""
"","","Freq","Pct"
"","1 = Not at all .......................................................................................................................","21060","35.65"
"","2 = A little ...........................................................................................................................","16101","27.26"
"","3 = Some .............................................................................................................................","10889","18.43"
"","4 = Quite a bit .....................................................................................................................","5798","9.82"
"","5 = A lot ..............................................................................................................................","3213","5.44"
"","85 = BAD DATA Logically assigned .................................................................................","39","0.07"
"","94 = DON'T KNOW ...........................................................................................................","302","0.51"
"","97 = REFUSED ..................................................................................................................","287","0.49"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1380","2.34"
"H<s>ow much, if at all, has the COVID-19 pandemic affected the amount of alcohol you drink?</s>","","",""
"(COV2)","","",""
"COALCUSE","Len : 2    HOW COVID-19 AFFECTED AMOUNT OF ALCOHOL DRANK","",""
"","","Freq","Pct"
"","1 = I drink much less than before the COVID-19 pandemic ...............................................","6612","11.19"
"","2 = I drink a little less than before the COVID-19 pandemic ..............................................","2455","4.16"
"","3 = I drink about the same as before the COVID-19 pandemic ...........................................","19056","32.26"
"","4 = I drink a little more than before the COVID-19 pandemic ............................................","3398","5.75"
"","5 = I drink much more than before the COVID-19 pandemic .............................................","1097","1.86"
"","85 = BAD DATA Logically assigned .................................................................................","13","0.02"
"","91 = NEVER USED ALCOHOL ........................................................................................","17216","29.15"
"","93 = DID NOT USE ALCOHOL IN THE PAST 12 MOS .................................................","6899","11.68"
"","94 = DON'T KNOW ...........................................................................................................","697","1.18"
"","97 = REFUSED ..................................................................................................................","432","0.73"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1194","2.02"
"How much, if at all, has the COVID-19 pandemic affected your drug use other than alcohol?","","",""
"B","y drugs we mean cannabis, which includes marijuana or any cannabis product, cocaine, methamphetamine, heroin, fentanyl, hallucinogens, such","",""
"","as LSD, and prescription medications including benzodiazepines such as Xanax and Ativan, stimulants such as Ritalin and Adderall, and opioids","",""
"<s>such as hydrocodone or oxycodone.</s>","","",""
"(COV3)","","",""
"CODRGUSE","Len : 2    HOW COVID-19 AFFECTED DRUG USE","",""
"","","Freq","Pct"
"","1 = I use much less than before the COVID-19 pandemic ..................................................","6930","11.73"
"","2 = I use a little less than before the COVID-19 pandemic .................................................","1065","1.80"
"","3 = I use about the same as before the COVID-19 pandemic ..............................................","12327","20.87"
"","4 = I use a little more than before the COVID-19 pandemic ...............................................","1768","2.99"
"","5 = I use much more than before the COVID-19 pandemic ................................................","1090","1.85"
"","83 = DID NOT USE DRUGS IN THE PAST 12 MOS Logically assigned ........................","269","0.46"
"","85 = BAD DATA Logically assigned .................................................................................","31","0.05"
"","91 = NEVER USED DRUGS .............................................................................................","18198","30.81"
"","93 = DID NOT USE DRUGS IN THE PAST 12 MOS ......................................................","12842","21.74"
"","94 = DON'T KNOW ...........................................................................................................","1758","2.98"
"","97 = REFUSED ..................................................................................................................","1249","2.11"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1542","2.61"
"H<s>ow often have you had serious financial worries because of the COVID-19 pandemic?</s>","","",""
"(COV4)","","",""
"COFINANC","Len : 2    HOW OFTEN HAD SERIOUS FINANCIAL WORRIES DUE TO COVID-19","",""
"","","Freq","Pct"
"","1 = All the time ...................................................................................................................","5172","8.76"
"","2 = Nearly all the time ........................................................................................................","3427","5.80"
"","3 = Some of the time ...........................................................................................................","12833","21.73"
"","4 = Rarely ...........................................................................................................................","12546","21.24"
"","5 = Never ............................................................................................................................","22755","38.52"
"","85 = BAD DATA Logically assigned .................................................................................","39","0.07"
"","94 = DON'T KNOW ...........................................................................................................","517","0.88"
"","97 = REFUSED ..................................................................................................................","374","0.63"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1406","2.38"
