variable_name,description
CADRKHALL,
CIG100LF,Have you smoked at least 100 cigarettes in your entire life?
COCMON,
CADRKHALL2,
CIG1PACK,
COCNEDEVER,
CADRKHERN,
CIG30AV,"On the [CG07 days / CIGDKRE] you smoked cigarettes during the past 30 days, how many cigarettes did you smoke per day, on average?"
COCNEEDL,"The next questions are about the different ways that certain drugs can be used. Have you ever, even once, used a needle to inject cocaine?"
CADRKHERN2,
CIG30USE,"During the past 30 days, that is since [DATEFILL], on how many days did you smoke part or all of a cigarette?"
COCREC,How long has it been since you last used cocaine?
CADRKINHL,
CIGAGE,How old were you when you first started smoking cigarettes every day?
COCUS30A,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use cocaine?"
CADRKINHL2,
CIGAGLST,Earlier the computer recorded that you last smoked part or all of a cigarette [CG06]. How old were you the last time you smoked part or all of a cigarette?
COCYDAYS,
CADRKMARJ,What other drug or drugs did you use while you were drinking or within a couple of hours of drinking?
CIGAREVR,"NOTE: This variable incorporates the value from a probe question that was asked when the respondent answered REFUSED to this question. The next questions are about smoking cigars made only of tobacco, such as cigarillos, big cigars, and little cigars that look like cigarettes. Have you ever, even once, smoked part or all of a cigar or cigarillo?"
COCYFU,Did you first use cocaine in any form in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you first use cocaine in any form in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you first use cocaine in any form?
CADRKMARJ2,NOTE: The following six variables define specific drugs used at the same time or within a couple hours of the respondent's last alcohol use.
CIGARMFU,In what month in [CURRENT YEAR] did you first smoke part or all of a cigar or cigarillo? In what month in [YEAR FROM CG35a or CG35b] did you first smoke part or all of a cigar or cigarillo?
COCYLU,Did you last use cocaine in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you last use cocaine in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you last use cocaine?
CADRKMETH,
CIGARMLU,In what month in [CURRENT YEAR] did you last smoke part or all of a cigar or cigarillo? In what month in [YEAR FROM LU07a or LU07b] did you last smoke part or all of a cigar or cigarillo?
COCYR,
CADRKMETH2,
CIGARREC,"NOTE: This variable incorporates values from the two questions shown below. This variable also incorporates values from two probe questions that were asked when the respondent answered DON'T KNOW or REFUSED to the second question shown below. Now think about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, have you smoked part or all of a cigar or cigarillo? How long has it been since you last smoked part or all of a cigar or cigarillo?"
COCYRBFR,"NOTE: The variables COCYRBFR and COCAGLST were not edited with respect to one another. Therefore, inconsistencies could exist between these two variables. Earlier questions were about the past 12 months. This question is about the year before that, that is, from [DATEFILL - 12 MONTHS] to [DATEFILL]. During that year, beginning [DATEFILL - 12 MONTHS] and ending [DATEFILL], did you use any form of cocaine, even once?"
