"N","OTE: In HPDRGTALK, if respondents reported never using marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or","",""
"","methamphetamine or not using these substances in the past 12 months and also that they did not have any health care visits in the past 12 months","",""
"","(emergency room visits, overnight hospitalizations, outpatient visits, or telehealth encounters), indication that respondents never used these drugs or","",""
"","last used any of them more than 12 months ago (as indicated by codes of 91 or 93) took precedence over assignment of codes to indicate that these","",""
"","respondents did not have any health care visits in the past 12 months. Codes of 99 in HPDRGTALK applied to respondents who used any of these","",""
"","drugs in the past 12 months or whose status as a past year user was unknown but who did not have any health care visits in the past 12 months.","",""
"During the past 12 months, did any doctor or other health care professional talk to you about your use of","","",""
"<s>[MARIJUANA/COCAINE/CRACK/HEROIN/INHALANTS/HALLUCINOGENS/METHAMPHETAMINE]?</s>","","",""
"(HLTH23)","","",""
"HPDRGTALK","Len : 2    HEALTH PROF DISCUSSED MY DRUG USE WITH ME","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","3097","5.24"
"","2 = No .................................................................................................................................","8424","14.26"
"","85 = BAD DATA Logically assigned .................................................................................","14","0.02"
"","91 = NEVER USED MJ/COC/HER/HALL/INH/METH ....................................................","30955","52.40"
"","93 = DID NOT USE MJ/COC/HER/HAL/INH/METH IN PST 12 MOS ...........................","12581","21.30"
"","94 = DON'T KNOW ...........................................................................................................","20","0.03"
"","97 = REFUSED ..................................................................................................................","17","0.03"
"","98 = BLANK (NO ANSWER) ...........................................................................................","888","1.50"
"","99 = LEGITIMATE SKIP ...................................................................................................","3073","5.20"
"These next questions are about certain medical conditions.","","",""
"D","<s>uring the past 12 months, did you have a sexually transmitted disease such as chlamydia, gonorrhea, herpes or syphilis?</s>","",""
"(HLTH24)","","",""
"STDANYYR<s>1</s>","Len : 2    HAD SEXUALLY TRANSMITTED DISEASE PST 12 MOS","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","1011","1.71"
"","2 = No .................................................................................................................................","56955","96.42"
"","85 = BAD DATA Logically assigned .................................................................................","23","0.04"
"","94 = DON'T KNOW ...........................................................................................................","130","0.22"
"","97 = REFUSED ..................................................................................................................","114","0.19"
"","98 = BLANK (NO ANSWER) ...........................................................................................","836","1.42"
"Below is a list of health conditions that you may have had during your lifetime.","","",""
"P","lease read the list and type in the numbers of all of the conditions that a doctor or other health care professional has ever told you that you had.","",""
"T","<s>o select more than one condition, press the space bar between each number you type. When you have finished, press [ENTER].</s>","",""
"(HLTH2501)","","",""
"HRTCONDEV<s>1</s>","Len : 2    EVER TOLD HAD HEART CONDITION","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","3562","6.03"
"","2 = No (not entered) ............................................................................................................","13873","23.49"
"","85 = BAD DATA Logically assigned .................................................................................","14","0.02"
"","94 = DON'T KNOW ...........................................................................................................","396","0.67"
"","97 = REFUSED ..................................................................................................................","256","0.43"
"","98 = BLANK (NO ANSWER) ...........................................................................................","870","1.47"
"","99 = LEGITIMATE SKIP ...................................................................................................","40098","67.88"
"(HLTH2502)","","",""
"DIABETEVR<s>1</s>","Len : 2    EVER TOLD HAD DIABETES/SUGAR DIABETES","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","3577","6.06"
"","2 = No (not entered) ............................................................................................................","13858","23.46"
"","85 = BAD DATA Logically assigned .................................................................................","26","0.04"
"","94 = DON'T KNOW ...........................................................................................................","396","0.67"
"","97 = REFUSED ..................................................................................................................","256","0.43"
"","98 = BLANK (NO ANSWER) ...........................................................................................","858","1.45"
"","99 = LEGITIMATE SKIP ...................................................................................................","40098","67.88"
"Codebook Creation Date: 10/19/2023 ................................................. 533","","",""
