variable_name,description
METHEASWY,"Now think about the past 12 months, from [DATEFILL] through today. We want to know how many days you've used methamphetamine during the past 12 months. What would be the easiest way for you to tell us how many days you've used it?"
MJMONVAPE,
NICVAPFLAG,
METHMOLST,In what month in [CURRENT YEAR] did you last use methamphetamine? In what month in [YEAR FROM LU17a or LU17b] did you last use methamphetamine?
MJONLYFLAG,"Due to potential underreporting of lifetime prescription drug use, users are cautioned against using the lifetime use of marijuana only variable in analysis. This variable may overestimate lifetime users of only marijuana. (COCFLAG, HALLUCFLAG, HERFLAG, INHALFLAG, METHAMFLAG, MRJFLAG, PNRNMFLAG, SEDNMFLAG, STMNMFLAG,"
NICVAPMFU,In what month in [CURRENT YEAR] did you first vape nicotine with an e-cigarette or other vaping device? In what month in [YEAR FROM VPFTYRa or VPFTYRb] did you first vape nicotine with an e-cigarette or other vaping device?
METHNDAYPM,
MJONLYMON,"(COCMON, HALLUCMON, HERMON, INHALMON, METHAMMON, MRJMON, PNRNMMON, SEDNMMON, STMNMMON, TRQNMMON)"
NICVAPMON,
METHNDAYYR,
MJONLYYR,"(COCYR, HALLUCYR, HERYR, INHALYR, METHAMYR, MRJYR, PNRNMYR, SEDNMYR, STMNMYR, TRQNMYR)"
NICVAPREC,"NOTE: This variable incorporates values from the two questions shown below. This variable also incorporates values from two probe questions that were asked when the respondent answered DON'T KNOW or REFUSED to the second question shown below. Now think about the past 30 days, that is, from [DATEFILL] up to and including today. During the past 30 days, have you vaped nicotine with an e-cigarette or other vaping device? How long has it been since you last vaped nicotine with an e-cigarette or other vaping device?"
METHNDLRC,How long has it been since you last used a needle to inject Methamphetamine?
MJREC,How long has it been since you last used marijuana or any cannabis product?
NICVAPYFU,Did you first vape nicotine with an e-cigarette or other vaping device in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you first vape nicotine with an e-cigarette or other vaping device in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]?
METHNEEDL,"Have you ever, even once, used a needle to inject Methamphetamine?"
MJVAPMON,
NICVAPYR,
METHYRLST,Did you last use methamphetamine in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you last use methamphetamine in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you last use methamphetamine?
MJVAPYR,
NICVPMDAYS,
METOTFG,
MJYFU,Did you first use marijuana or any cannabis product in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you first use marijuana or any cannabis product in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you first use marijuana or any cannabis product?
NITOXID,"Have you ever, even once, inhaled nitrous oxide or 'whippits' for kicks or to get high?"
MHNTCARE,
MJYRDAB,
NITOXIEVER,
MHNTCONSQ,
MJYREAT,
NMERTMT2,"During the past 12 months, that is since DATEFILL, how many different times have you been treated in an emergency room for any reason?"
MHNTCOST,NOTE: The following 18 variables describe reasons the respondent did not receive mental health treatment. These variables are defined for respondents who did not receive mental health treatment in the past year and who either sought treatment or did not indicate they sought treatment but thought they should get treatment in the past year.
MJYRMOUTH,
NMNGTHS2,"During the past 12 months, how many nights were you an inpatient in a hospital?"
MHNTENFCV,
MJYROTHER,
NMVSOEST,"What is your best guess of how many times you have visited a doctor, nurse, physician assistant or nurse practitioner about your own health at a doctor’s office, a clinic, or some other place in the past 12 months?"
MHNTFFLKE,
MJYRPILL,
NMVSOPT2,"During the past 12 months, how many times have you visited a doctor, nurse, physician assistant or nurse practitioner about your own health at a doctor’s office, a clinic, or some other place?"
MHNTFORCE,
MJYRSKIN,
NOBOOKY2,"Not counting minor traffic violations, how many times during the past 12 months have you been arrested and booked for breaking a law?"
MHNTHNDL,
MJYRSMOKE,"During the past 12 months, that is, since [DATEFILL], in which of the following ways did you use marijuana or any cannabis product? To select more than one way from the list, press the space bar between each number you type. When you have finished, press [ENTER]"
NOMARR2,How many times have you been married?
MHNTINSCV,
MJYRTOT,
NONABOVEV,
MHNTMEDS,
MJYRVAPE,
NPCOLDFLAG,
MHNTNOFND,
MKMAMTPDCOM2,
NPCOLDMON,
MHNTNOHLP,
MKMBGHT30N2,"During the past 30 days, that is, since [DATEFILL], on how many days did you pay for or buy marijuana or cannabis products?"
NPCOLDYR,
MHNTNOOPN,
MKMBGHTDAB,
NRCH17_2,
MHNTPRIV,
MKMBGHTDISP,"The last time you bought marijuana or cannabis products, did you buy it from either a store or dispensary?"
OPIANYYR,
MHNTPROBS,
MKMBGHTDRPS,
OPIIMFNMMN,
MHNTPTHNK,
MKMBGHTEDBLE,
OPIIMFNMYR,
MHNTSTART,
MKMBGHTJNT,"The last time you paid for or bought marijuana, what forms of marijuana or cannabis products did you buy?"
OPINMMON,
MHNTTIME,
MKMBGHTKNW,"The last time you paid for or bought marijuana or cannabis products, how well did you know the person you got it from?"
OPINMYR,
MHNTWHER,
MKMBGHTLOO,
OTCFLAG,"NOTE: OTCFLAG is a ""flag"" variable that has a value of 1 when respondents reported use of an over-the-counter (OTC) cold medication to get high in the past year, but the only drugs that they specified were prescription- type ones. OTCFLAG has a value of 2 when respondents reported use of OTC cold medications to get high but their ""OTHER, Specify"" variables COLDYR1 through COLDYR5 all had codes of ""bad data"" or ""blank."""
