"Y<s>ou can use any number between 0 and 10 to answer. </s>","","",""
"(AD66C)","","",""
"ADPSRELS<s>1</s>","Len : 2    HOW MUCH DID FEELING INTERFERE WITH RELATIONSHIPS","",""
"","","Freq","Pct"
"","0 = No Interference .............................................................................................................","197","0.33"
"","1 = Mild - 1 .........................................................................................................................","146","0.25"
"","2 = Mild - 2 .........................................................................................................................","269","0.46"
"","3 = Mild - 3 .........................................................................................................................","426","0.72"
"","4 = Moderate - 4 .................................................................................................................","445","0.75"
"","5 = Moderate - 5 .................................................................................................................","737","1.25"
"","6 = Moderate - 6 .................................................................................................................","659","1.12"
"","7 = Severe - 7 ......................................................................................................................","730","1.24"
"","8 = Severe - 8 ......................................................................................................................","673","1.14"
"","9 = Severe - 9 ......................................................................................................................","435","0.74"
"","10 = Very Severe Interference ............................................................................................","547","0.93"
"","85 = BAD DATA Logically assigned .................................................................................","1","0.00"
"","94 = DON'T KNOW ...........................................................................................................","10","0.02"
"","97 = REFUSED ..................................................................................................................","5","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1523","2.58"
"","99 = LEGITIMATE SKIP ...................................................................................................","52266","88.48"
"How much did [NUMPROBS] interfere with your ability to have a social life during that period of time?","","",""
"Y<s>ou can use any number between 0 and 10 to answer.</s>","","",""
"(AD66D)","","",""
"ADPSSOC<s>1</s>","Len : 2    HOW MUCH DID FEELINGS INTERFERE WITH SOCIAL LIFE","",""
"","","Freq","Pct"
"","0 = No Interference .............................................................................................................","145","0.25"
"","1 = Mild - 1 .........................................................................................................................","106","0.18"
"","2 = Mild - 2 .........................................................................................................................","198","0.34"
"","3 = Mild - 3 .........................................................................................................................","336","0.57"
"","4 = Moderate - 4 .................................................................................................................","358","0.61"
"","5 = Moderate - 5 .................................................................................................................","634","1.07"
"","6 = Moderate - 6 .................................................................................................................","609","1.03"
"","7 = Severe - 7 ......................................................................................................................","716","1.21"
"","8 = Severe - 8 ......................................................................................................................","814","1.38"
"","9 = Severe - 9 ......................................................................................................................","570","0.96"
"","10 = Very Severe Interference ............................................................................................","777","1.32"
"","85 = BAD DATA Logically assigned .................................................................................","1","0.00"
"","94 = DON'T KNOW ...........................................................................................................","11","0.02"
"","97 = REFUSED ..................................................................................................................","5","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1523","2.58"
"","99 = LEGITIMATE SKIP ...................................................................................................","52266","88.48"
"N","OTE: Beginning with the 2008 survey, respondents who answered ""don't know"" or ""refused"" to questions corresponding to the variables","",""
"","ADPSHMGT, ADPSWORK, ADPSRELS, and ADPSSOC are no longer asked the question corresponding to ADPSDAYS unless they entered a","",""
"response of 1 to 10 in at least one of the other questions corresponding to ADPSHMGT through ADPSSOC.","","",""
"A","bout how many days out of 365 in the past 12 months were you totally unable to work or carry out your normal activities because of your","",""
"[FEELNOUN]?","","",""
"Y<s>ou can use any number between 0 and 365 to answer</s>","","",""
"(AD68)","","",""
"ADPSDAYS<s>1</s>","Len : 3    # DYS UNABLE TO WORK/CARRY OUT DLY ACT PST 12 MOS","",""
"","","Freq","Pct"
"","RANGE = 0 - 365 ...............................................................................................................","5104","8.64"
"","985 = BAD DATA Logically assigned ...............................................................................","1","0.00"
"","994 = DON'T KNOW .........................................................................................................","133","0.23"
"","997 = REFUSED ................................................................................................................","8","0.01"
"","998 = BLANK (NO ANSWER)..........................................................................................","1529","2.59"
"","999 = LEGITIMATE SKIP .................................................................................................","52294","88.53"
