variable_name,description
IRHERRC,
IRPMNICDEP,"NOTE: The following variable, IRPMNICDEP, is the imputation-revised version of the nicotine dependence variable (PMNICDEP) derived from the Nicotine Dependence Syndrome Scale (NDSS) and the Fagerstrom Test of Nicotine Dependence (FTND). Based on the NDSS and the FTND, a respondent who smoked cigarettes in the past month was defined as having nicotine dependence if they met either the NDSS or the FTND criteria for dependence. Specific details are provide in the Nicotine Dependence and Substance Use Disorder appendix."
IRTRQNMREC,
IRHERYFU,
IRPNRANYREC,"NOTE: The following 18 variables refer to any use of prescription drugs. Any Use of prescription drugs is defined as either the use of one's own prescription medication as directed by a doctor or the misuse of prescription drugs. Misuse of prescription drugs is defined as use in any way not directed by a doctor, including use without a prescription of one's own medication; use in greater amounts, more often, or longer than told to take a drug; or use in any other way not directed by a doctor. Due to potential underreporting of lifetime prescription drug use, users are cautioned against using the levels ‘More than 12 months ago’ and ‘NEVER USED XXX’ in analysis for the following variables: IRPNRANYREC, IRTRQANYREC, IRSTMANYREC, and IRSEDANYREC."
IRTRQNMYFU,"NOTE: The following four variables pertain to the age and date of first misuse of tranquilizers. Respondents who were past year initiates (IRTRQNMINIT=1), that is respondents who misused tranquilizers for the first time in the 12 months prior to the date of the interview, are included in the domain. Respondents who are not past year initiates (IRTRQNMINIT ne 1) receive an appropriate skip code."
IRHH65_2,
IRPNRNM30FQ,
IRUD5PNRMIS,NOTE: IRUD5PNRMIS and IIUD5PNRMIS were created using the DSM-5 based SUD variables that do not include use disorder data from past year users but not misusers of prescription pain relievers.
IRHHSIZ2,
IRPNRNMAGE,
IRUD5PNRUNM,NOTE: IRUD5PNRUNM and IIUD5PNRUNM were created using the DSM-5 based SUD variables that do not include use disorder data from past year misusers of prescription pain relievers.
IRIMFREC,
IRPNRNMINIT,The following eight variables pertain to past year initiation of prescription drugs. Past year initiation of prescription drugs is defined as the misuse of the drug for the first time in the 12 months prior to the date of the interview.
IRUD5SEDMIS,NOTE: IRUD5SEDMIS and IIUD5SEDMIS were created using the DSM-5 based SUD variables that do not include use disorder data from past year users but not misusers of prescription sedatives.
IRIMPCONCN,
IRPNRNMREC,"NOTE: The following 14 variables refer to the misuse of prescription drugs. Misuse of prescription drugs is defined as use in any way not directed by a doctor, including use without a prescription of one's own medication; use in greater amounts, more often, or longer than told to take a drug; or use in any other way not directed by a doctor. Due to potential underreporting of lifetime prescription drug use, users are cautioned against using the levels ‘More than 12 months ago’ and ‘NEVER MISUSED XXX’ in analysis for the following variables: IRPNRNMREC, IRTRQNMREC, IRSTMNMREC, and IRSEDNMREC."
IRUD5SEDUNM,NOTE: IRUD5SEDUNM and IIUD5SEDUNM were created using the DSM-5 based SUD variables that do not include use disorder data from past year misusers of prescription sedatives.
IRIMPGOUT,
IRPNRNMYFU,"NOTE: The following four variables pertain to the age and date of first misuse of pain relievers. Respondents who were past year initiates (IRPNRNMINIT=1), that is respondents who misused pain relievers for the first time in the 12 months prior to the date of the interview, are included in the domain. Respondents who are not past year initiates (IRPNRNMINIT ne 1) receive an appropriate skip code."
IRUD5STMMIS,NOTE: IRUD5STMMIS and IIUD5STMMIS were created using the DSM-5 based SUD variables that do not include use disorder data from past year users but not misusers of prescription stimulants.
IRIMPGOUTM,
IRPRVHLT,
