"","INDEX",""
"PNRANYFLAG ...................... 215","RCVMHTNSUT ..................... 526","RXPROVMIS ......................... 239"
"PNRANYLIF .......................... 144","RCVSUTAMHT ..................... 526","RXSOMAANY ....................... 230"
"PNRANYREC ........................ 144","RCVSUTNMHT ..................... 526","RXSOMAMIS ........................ 237"
"PNRANYYR ........................... 215","RCVSUTOMHT ..................... 526","RXTEMAANY ....................... 232"
"PNRMAINRSN ...................... 249","RCVYMHPRB ....................... 549","RXTRAMANY ....................... 226"
"PNRNDAYPM........................ 243","RCVYSUBPRB ...................... 549","RXTRAMMIS ........................ 234"
"PNRNM30AL ......................... 148","RKFQDBLT ........................... 413","RXTRIAANY ......................... 232"
"PNRNM30D ........................... 147","RKFQPBLT ............................ 413","RXZALEANY ........................ 232"
"PNRNM30ES .......................... 148","RLGATTD ............................. 441","RXZOHYANY ....................... 226"
"PNRNM30FQ ......................... 147","RLGDCSN ............................. 441","RXZOHYMIS ......................... 233"
"PNRNMAGE .......................... 147","RLGFRND ............................. 441","RXZOLPANY ........................ 231"
"PNRNMFLAG ........................ 217","RLGIMPT .............................. 441","RXZOLPMIS .......................... 239"
"PNRNMINIT .......................... 146","RSKBNGDLY ........................ 411","SALVIADIV ........................... 117"
"PNRNMLAS1 ......................... 150","RSKBNGWK ......................... 411","SALVIAFLAG ....................... 214"
"PNRNMLIF ............................ 145","RSKCIGPKD ......................... 409","SALVIAMON ......................... 214"
"PNRNMMFU .......................... 147","RSKCOCMON ....................... 410","SALVIAREC .......................... 130"
"PNRNMMON ......................... 217","RSKCOCWK ......................... 411","SALVIAYR ............................ 214"
"PNRNMREC ........................... 146","RSKHERTRY ........................ 410","SCHFELT ............................... 436"
"PNRNMYFU .......................... 147","RSKHERWK .......................... 410","SEDANYFLAG ...................... 216"
"PNRNMYR ............................. 217","RSKLSDTRY ......................... 410","SEDANYLIF .......................... 170"
"PNRNORXFG ........................ 153","RSKLSDWK .......................... 410","SEDANYREC ......................... 170"
"PNRRSDGFX ......................... 152","RSKMRJMON ....................... 409","SEDANYYR ........................... 216"
"PNRRSEMOT ......................... 151","RSKMRJWK .......................... 409","SEDMAINRSN ....................... 252"
"PNRRSEXPT .......................... 151","RSKYFQDGR ........................ 413","SEDNDAYPM ........................ 244"
"PNRRSHIGH .......................... 151","RSKYFQTES ......................... 413","SEDNM30AL ......................... 173"
"PNRRSHOOK ........................ 152","RSNMRJMO .......................... 103","SEDNM30D ............................ 172"
"PNRRSMAIN ......................... 153","RSNOMRJ.............................. 103","SEDNM30ES .......................... 172"
"PNRRSOTRS2 ........................ 152","RXALPRANY ........................ 228","SEDNM30FQ ......................... 172"
"PNRRSPAIN ........................... 150","RXALPRMIS ......................... 236","SEDNMAGE .......................... 171"
"PNRRSRELX.......................... 151","RXAMMEANY ..................... 230","SEDNMFLAG ........................ 218"
"PNRRSSLEP ........................... 151","RXAMMEMIS ....................... 238","SEDNMINIT........................... 171"
"PNRRSSOR ............................ 152","RXAMPHANY ...................... 230","SEDNMLAST ......................... 174"
"PNRWYGAMT ...................... 148","RXAMPHMIS ........................ 238","SEDNMLIF............................. 171"
"PNRWYLNGR ....................... 149","RXANORANY ....................... 231","SEDNMMFU .......................... 172"
"PNRWYNORX ....................... 148","RXANORMIS ........................ 238","SEDNMMON ......................... 218"
"PNRWYOFTN ........................ 149","RXBARBANY ....................... 233","SEDNMREC ........................... 171"
"PNRWYOTWY ...................... 149","RXBARBMIS......................... 240","SEDNMYFU........................... 172"
"POVERTY3 ............................ 42","RXBUPRANY ....................... 227","SEDNMYR ............................. 218"
"PRALDLY2 ............................ 438","RXBUPRMIS ......................... 234","SEDNORXFG ......................... 176"
"PRBSOLV2 ............................. 440","RXBZOSANY ........................ 232","SEDRSDGFX ......................... 175"
"PRCHORE2 ............................ 437","RXBZOSMIS ......................... 240","SEDRSEMOT ......................... 175"
"PREG ...................................... 542","RXBZOTANY ....................... 228","SEDRSEXPT .......................... 174"
"PREG2 .................................... 542","RXBZOTMIS ......................... 236","SEDRSHIGH .......................... 175"
"PREGAGE2 ............................ 14","RXCLONANY ....................... 229","SEDRSHOOK ......................... 175"
"PREGNANT ........................... 527","RXCLONMIS......................... 236","SEDRSMAIN ......................... 176"
"PREGPGM2 ............................ 440","RXCODEANY ....................... 227","SEDRSOTRS2 ........................ 176"
"PREVIOL2 .............................. 440","RXCODEMIS......................... 234","SEDRSRELX .......................... 174"
"PRGDJOB2 ............................. 437","RXCYCLANY ....................... 229","SEDRSSLEP ........................... 175"
"PRLMTTV2 ............................ 437","RXCYCLMIS ......................... 237","SEDRSSOR ............................ 175"
"PRMJEVR2 ............................. 438","RXDEMEANY ....................... 227","SEDWYGAMT ....................... 173"
"PRMJMO ................................ 438","RXDEMEMIS ........................ 235","SEDWYLNGR ....................... 173"
"PROB ...................................... 50","RXDIAZANY ........................ 229","SEDWYNORX ....................... 173"
"PROBATON ........................... 47","RXDIAZMIS .......................... 237","SEDWYOFTN ........................ 173"
"PRPKCIG2 .............................. 438","RXESZOANY ........................ 232","SEDWYOTWY ...................... 174"
"PRPROUD2 ............................ 437","RXESZOMIS ......................... 239","SERVICE ................................ 8"
"PRTALK3 ............................... 440","RXFLURANY ........................ 233","SEVYRPNRANY ................... 371"
"PRVDRGO2 ........................... 440","RXHYDCANY ....................... 226","SEVYRSEDANY ................... 371"
"PRVHLTIN ............................. 32","RXHYDCMIS ........................ 233","SEVYRSTMANY ................... 371"
"PRXRETRY ............................ 30","RXHYDMANY ...................... 228","SEVYRTRQANY ................... 371"
"PRXYDATA ........................... 30","RXHYDMMIS ....................... 235","SEXAGE ................................. 15"
"PSILCY ................................... 117","RXLORAANY ....................... 229","SEXATRACT ......................... 10"
"PSILCYEVER ........................ 224","RXLORAMIS......................... 236","SEXIDENT ............................. 11"
"PSYANYFLAG ...................... 216","RXMORPANY ....................... 227","SEXRACE .............................. 15"
"PSYANYYR ........................... 217","RXMORPMIS ........................ 234","SMIPPPY ................................ 463"
"PSYCHFLAG ......................... 219","RXMRLXANY ...................... 229","SMIPY .................................... 464"
"PSYCHMON .......................... 219","RXMRLXMIS ........................ 237","SMIRSUD5ANY .................... 465"
"PSYCHYR .............................. 219","RXMTDNANY ...................... 228","SMISUD5ANY ....................... 465"
"PYUD5ALC ............................ 355","RXMTDNMIS ........................ 235","SMISUD5ANYO .................... 466"
"PYUD5COC ........................... 356","RXMTHPANY ....................... 231","SMKAGLAST ........................ 376"
"PYUD5HAL ........................... 356","RXMTHPMIS ........................ 238","SMKLSMDAYS ..................... 242"
"PYUD5HER ............................ 356","RXOXCOANY ....................... 226","SMKLSS30E........................... 59"
"PYUD5INH ............................. 356","RXOXCOMIS ........................ 233","SMKLSS30N .......................... 58"
"PYUD5MRJ ............................ 355","RXOXYMANY ...................... 227","SMKLSSEVR ......................... 57"
"PYUD5MTH ........................... 357","RXOXYMMIS ....................... 234","SMKLSSFLAG ....................... 208"
"QUESTID2 ............................. 3","RXPROVANY ....................... 231","SMKLSSMFU ........................ 58"
"Codebook Creation Date: 10/19/2023 ................................................. 567","",""
