"H<s>ow much did your [FEELNOUN] cause problems with your chores at home?</s>","","",""
"(YD66A)","","",""
"YOPSHMGT<s>1</s>","Len : 2    HOW MUCH DID FEELINGS INTERFERE WITH HOME CHORES","",""
"","","Freq","Pct"
"","0 = No Problems .................................................................................................................","89","0.15"
"","1 = Mild - 1 .........................................................................................................................","65","0.11"
"","2 = Mild - 2 .........................................................................................................................","136","0.23"
"","3 = Mild - 3 .........................................................................................................................","191","0.32"
"","4 = Moderate - 4 .................................................................................................................","191","0.32"
"","5 = Moderate - 5 .................................................................................................................","350","0.59"
"","6 = Moderate - 6 .................................................................................................................","398","0.67"
"","7 = Severe - 7 ......................................................................................................................","323","0.55"
"","8 = Severe - 8 ......................................................................................................................","282","0.48"
"","9 = Severe - 9 ......................................................................................................................","100","0.17"
"","10 = Very Severe Problems.................................................................................................","149","0.25"
"","85 = BAD DATA Logically assigned .................................................................................","1","0.00"
"","94 = DON'T KNOW ...........................................................................................................","19","0.03"
"","97 = REFUSED ..................................................................................................................","10","0.02"
"","98 = BLANK (NO ANSWER) ...........................................................................................","436","0.74"
"","99 = LEGITIMATE SKIP ...................................................................................................","56329","95.36"
"D","uring that time in the past 12 months when your [FEELNOUN] was worst, how much did this cause problems with your ability to do well at","",""
"school or work?","","",""
"Y<s>ou can use any number between 0 and 10 to answer.</s>","","",""
"(YD66B)","","",""
"YOPSWORK<s>1</s>","Len : 2    HOW MCH DID FLNGS INTRFR W/ABLTY TO DO WLL SCH/WK","",""
"","","Freq","Pct"
"","0 = No Problems .................................................................................................................","77","0.13"
"","1 = Mild - 1 .........................................................................................................................","65","0.11"
"","2 = Mild - 2 .........................................................................................................................","134","0.23"
"","3 = Mild - 3 .........................................................................................................................","190","0.32"
"","4 = Moderate - 4 .................................................................................................................","186","0.31"
"","5 = Moderate - 5 .................................................................................................................","289","0.49"
"","6 = Moderate - 6 .................................................................................................................","257","0.44"
"","7 = Severe - 7 ......................................................................................................................","290","0.49"
"","8 = Severe - 8 ......................................................................................................................","316","0.53"
"","9 = Severe - 9 ......................................................................................................................","201","0.34"
"","10 = Very Severe Problems.................................................................................................","271","0.46"
"","85 = BAD DATA Logically assigned .................................................................................","1","0.00"
"","94 = DON'T KNOW ...........................................................................................................","17","0.03"
"","97 = REFUSED ..................................................................................................................","10","0.02"
"","98 = BLANK (NO ANSWER) ...........................................................................................","436","0.74"
"","99 = LEGITIMATE SKIP ...................................................................................................","56329","95.36"
