variable_name,description
TRQNORXFG,NOTE: TRQNORXFG is set to 1 when respondents reported that the only way they misused tranquilizers in the past year was without a prescription. These respondents also reported that the last tranquilizer they misused was obtained through a prescription (a) from one doctor or (b) from more than one doctor.
UDALWORKPRB,"Sometimes people who drink alcohol have serious problems at work, school, or home—such as: • missing a lot of work or school • getting demoted, having your hours cut, or losing a job • not being able to get a job or keep a job • getting suspended, expelled, or dropping out of school • failing to take care of family During the past 12 months, did you have any serious problems like these at work, school, or home because of your alcohol use?"
UDHEWDFLBLU,"People may experience withdrawal symptoms when they use less or stop using heroin. During the past 12 months, did you have the following withdrawal symptoms after you used less or stopped using heroin for a while? Feeling kind of blue or down"
TRQRSDGFX,
UDALWSHSTOP,"In the past 12 months, did you often wish that you could cut down or stop drinking alcohol?"
UDHEWDRUNNY,Having teary eyes or a runny nose
TRQRSEMOT,
UDCCAVOIDWD,"During the past 12 months, did you use cocaine or another drug to get over or avoid having cocaine withdrawal symptoms?"
UDHEWDSLEEP,Having trouble sleeping
TRQRSEXPT,
UDCCAVWCOCN,Which of the following did you use to get over or avoid having cocaine withdrawal symptoms during the past 12 months? Cocaine
UDHEWDSWEAT,"Feeling sweaty, having enlarged eye pupils, or having body hair standing up on your skin"
TRQRSHIGH,
UDCCAVWMETH,Methamphetamine
UDHEWDVOMIT,Vomiting or feeling nauseous
TRQRSHOOK,
UDCCAVWOTHR,Something else
UDHEWDYAWNS,Yawning
TRQRSMAIN,Which was the main reason you used [TRLASTFILL2] the last time?
UDCCAVWSTIM,Prescription stimulants or uppers
UDHEWORKPRB,"Sometimes people who use heroin have serious problems at work, school, or home—such as: • missing a lot of work or school • getting demoted, having your hours cut, or losing a job • not being able to get a job or keep a job • getting suspended, expelled, or dropping out of school • failing to take care of family During the past 12 months, did you have any serious problems like these at work, school, or home because of your use of heroin?"
TRQRSOTRS2,"Please type in the other reason you used [TRLASTFILL2] the last time. When you have finished typing your answer, press [ENTER] to go to the next question."
UDCCFMLYCTD,Did you continue to use cocaine even though it often caused arguments or problems with family or friends?
UDHEWSHSTOP,"In the past 12 months, did you often wish that you could cut down or stop using heroin?"
TRQRSRELX,Now think about the last time you used [TRLASTFILL2] in any way a doctor did not direct you to use it/them. What were the reasons you used [TRLASTFILL2] the last time?
UDCCFMLYPRB,"During the past 12 months, did you often have arguments or other problems with family or friends that were caused or made worse by your use of cocaine?"
UDINFMLYCTD,Did you continue to use inhalants even though they often caused arguments or problems with family or friends?
TRQRSSLEP,
UDCCGETHURT,"During the past 12 months, did you repeatedly get into situations where using cocaine increased your chances of getting physically hurt?"
UDINFMLYPRB,"During the past 12 months, did you often have arguments or other problems with family or friends that were caused or made worse by your use of inhalants?"
TRQRSSOR,
UDCCHLTHCTD,Did you continue to use cocaine even though it was causing long-lasting or repeated physical health problems or making your physical health problems worse?
UDINGETHURT,"During the past 12 months, did you repeatedly get into situations where using inhalants increased your chances of getting physically hurt?"
TRQWYGAMT,
UDCCHLTHPRB,"During the past 12 months, did you have any long-lasting or repeated physical health problems that were caused or made worse by using cocaine?"
UDINHLTHCTD,Did you continue to use inhalants even though they were causing long-lasting or repeated physical health problems or making your physical health problems worse?
TRQWYLNGR,
UDCCLESSEFF,Does using the same amount of cocaine have much less effect on you than it used to?
UDINHLTHPRB,"During the past 12 months, did you have any long-lasting or repeated physical health problems that were caused or made worse by using inhalants?"
TRQWYNORX,Which of these statements describe your use of [TRNAMEFILL] at any time in the past 12 months?
UDCCLRGAMTS,"During the past 12 months, were there many times when you ended up using cocaine in larger amounts or for a longer time than you meant to?"
UDINLESSEFF,Does using the same amount of inhalants have much less effect on you than it used to?
TRQWYOFTN,
UDCCMNTLCTD,Did you continue to use cocaine even though it was causing long-lasting or repeated problems with your emotions or mental health or making your emotions or mental health worse?
UDINLRGAMTS,"During the past 12 months, were there many times when you ended up using inhalants in larger amounts or for a longer time than you meant to?"
TRQWYOTWY,
UDCCMNTLPRB,"During the past 12 months, did you have any long-lasting or repeated problems with emotions or mental health that were caused or made worse by using cocaine?"
UDINMNTLCTD,Did you continue to use inhalants even though they were causing long-lasting or repeated problems with your emotions or mental health or making your emotions or mental health worse?
UADBAR,
UDCCNEEDMOR,Do you need to use a lot more cocaine than you used to in order to get the feeling you want?
UDINMNTLPRB,"During the past 12 months, did you have any long-lasting or repeated problems with emotions or mental health that were caused or made worse by using inhalants?"
UADBUND,"A respondent was assigned a value of UADBUND=3 if they did not use alcohol in the past month, were aged 21 or older, were past month alcohol users who were under 21 and bought it at a store, restaurant, bar, club, or event, were past month alcohol users who were under 21 but did not pay for their most recent alcohol, or were past month alcohol users who were under 21 and paid for their most recent alcohol but did not buy it themselves (CABUNDAG=89, 91, 93, 99)."
UDCCNOTSTOP,Some people who use cocaine try to cut down or stop but find they can’t. Was there more than one time in the past 12 months when you tried but were unable to cut down or stop using cocaine?
UDINNEEDMOR,Do you need to use a lot more inhalants than you used to in order to get the feeling you want?
