"","INDEX",""
"DAMTFXMON ...................... 214","EDUSKPMON ....................... 17","GNNDGET2 ........................... 269"
"DAMTFXREC ........................ 129","EIBINGAGE .......................... 82","GNNDLSH1 ........................... 268"
"DAMTFXYR .......................... 214","EIBINGMFU .......................... 82","GNNDLSH2 ........................... 269"
"DCIGMON ............................. 221","EIBINGYFU........................... 82","GNNDREUS ........................... 268"
"DIABETEAG .......................... 539","ENRLCOLLFT2 ..................... 20","GOVTPROG ........................... 42"
"DIABETEVR .......................... 533","ENRLCOLLST2 ..................... 20","GQTYPE2 ............................... 559"
"DIFGETCOC .......................... 412","ETHER ................................... 132","GRPCNSL2............................. 440"
"DIFGETCRK .......................... 412","ETHEREVER ......................... 225","GRPHLTIN ............................. 32"
"DIFGETHER .......................... 412","FELTMARKR ........................ 133","GRSKBNGDLY ..................... 415"
"DIFGETLSD ........................... 412","FENTANYYR ........................ 144","GRSKBNGWK ....................... 415"
"DIFGETMRJ ........................... 411","FENTNMYR .......................... 153","GRSKCIGPKD ....................... 414"
"DIFOBTCOC .......................... 415","FILEDATE ............................. 3","GRSKCOCMON .................... 414"
"DIFOBTCRK .......................... 415","FLTMRKEVER ..................... 225","GRSKCOCWK ....................... 414"
"DIFOBTHER .......................... 415","FLVVAPEVR......................... 544","GRSKHERTRY ...................... 414"
"DIFOBTLSD ........................... 415","FLVVAPFLAG ...................... 549","GRSKHERWK ....................... 414"
"DIFOBTMRJ .......................... 415","FLVVAPMON ....................... 550","GRSKLSDTRY ...................... 414"
"DMTAMTFXY ....................... 117","FLVVAPREC ......................... 544","GRSKLSDWK ........................ 415"
"DRPRVME3 ........................... 440","FLVVAPYR ........................... 549","GRSKMRJMON ..................... 414"
"DRVINAGE ............................ 14","FPIMFANYYR ...................... 551","GRSKMRJWK ....................... 414"
"DRVINALCO ......................... 47","FPIMFNMYR......................... 551","HALFQFLG ............................ 124"
"DRVINALCO2 ....................... 50","FRDADLY2 ........................... 439","HALLAGLST ......................... 382"
"DRVINALDRG ...................... 50","FRDMEVR2 ........................... 439","HALLDYPMO ....................... 125"
"DRVINALON ......................... 49","FRDMJMON .......................... 439","HALLDYPWK ....................... 125"
"DRVINCOCN ......................... 48","FRDPCIG2 ............................. 439","HALLDYSYR ........................ 125"
"DRVINDETAG ...................... 15","FTNDDEPND ........................ 67","HALLEASWY ........................ 125"
"DRVINDRG ........................... 50","FUALC18 ............................... 246","HALLMOLST ........................ 383"
"DRVINDROTMJ .................... 50","FUALC21 ............................... 246","HALLNDAYPM ..................... 243"
"DRVINHALL ......................... 48","FUCD218 ............................... 245","HALLNDAYYR ..................... 241"
"DRVINHERN ......................... 48","FUCD221 ............................... 245","HALLUC30E .......................... 126"
"DRVININHL .......................... 49","FUCGR18 ............................... 245","HALLUC30N ......................... 126"
