"H<s>ave you ever, even once, used illegally made fentanyl?</s>","","",""
"(IFLIF)","","",""
"IMFEVER","Len : 2    EVER USED ILLEGALLY MADE FENTANYL","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","306","0.52"
"","2 = No .................................................................................................................................","57294","97.00"
"","85 = BAD DATA Logically Assigned ................................................................................","7","0.01"
"","94 = DON'T KNOW ...........................................................................................................","116","0.20"
"","97 = REFUSED ..................................................................................................................","130","0.22"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1216","2.06"
"H<s>ave you ever, even once, used a needle to inject illegally made fentanyl?</s>","","",""
"(IFNDLLIF)","","",""
"IMFNDLEVER","Len : 2    EVER INJECTED ILLEGALLY MADE FENTANYL WITH NEEDLE","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","118","0.20"
"","2 = No .................................................................................................................................","184","0.31"
"","85 = BAD DATA Logically Assigned ................................................................................","9","0.02"
"","91 = NEVER USED ILLEGALLY MADE FENTANYL...................................................","57294","97.00"
"","94 = DON'T KNOW ...........................................................................................................","1","0.00"
"","97 = REFUSED ..................................................................................................................","1","0.00"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1462","2.48"
