"<s>How old were you when your kidney disease was first diagnosed?</s>","","",""
"(HLTH36)","","",""
"KIDNYDSAG<s>1</s>","Len : 3    AGE KIDNEY DISEASE 1ST DIAGNOSED","",""
"","","Freq","Pct"
"","RANGE = 1 - 103 ...............................................................................................................","728","1.23"
"","985 = BAD DATA Logically assigned ...............................................................................","9","0.02"
"","994 = DON'T KNOW .........................................................................................................","28","0.05"
"","997 = REFUSED ................................................................................................................","4","0.01"
"","998 = BLANK (NO ANSWER)..........................................................................................","1527","2.59"
"","999 = LEGITIMATE SKIP .................................................................................................","56773","96.11"
"H<s>ow old were you when your asthma was first diagnosed?</s>","","",""
"(HLTH37)","","",""
"ASTHMAAGE<s>1</s>","Len : 3    AGE ASTHMA 1ST DIAGNOSED","",""
"","","Freq","Pct"
"","RANGE = 1 - 83 .................................................................................................................","6468","10.95"
"","985 = BAD DATA Logically assigned ...............................................................................","9","0.02"
"","994 = DON'T KNOW .........................................................................................................","329","0.56"
"","997 = REFUSED ................................................................................................................","12","0.02"
"","998 = BLANK (NO ANSWER)..........................................................................................","1528","2.59"
"","999 = LEGITIMATE SKIP .................................................................................................","50723","85.87"
"D<s>o you still have asthma?</s>","","",""
"(HLTH38)","","",""
"ASTHMANOW<s>1</s>","Len : 2    STILL HAVE ASTHMA","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","4572","7.74"
"","2 = No .................................................................................................................................","2189","3.71"
"","85 = BAD DATA Logically assigned .................................................................................","9","0.02"
"","94 = DON'T KNOW ...........................................................................................................","48","0.08"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1528","2.59"
"","99 = LEGITIMATE SKIP ...................................................................................................","50723","85.87"
"H<s>ow old were you when you found out you had HIV or AIDS?</s>","","",""
"(HLTH39)","","",""
"HIVAIDSAG<s>1</s>","Len : 3    AGE 1ST FOUND OUT HAD HIV/AIDS","",""
"","","Freq","Pct"
"","RANGE = 1 - 62 .................................................................................................................","123","0.21"
"","985 = BAD DATA Logically assigned ...............................................................................","9","0.02"
"","997 = REFUSED ................................................................................................................","2","0.00"
"","998 = BLANK (NO ANSWER)..........................................................................................","1527","2.59"
"","999 = LEGITIMATE SKIP .................................................................................................","57408","97.19"
"A<s>re you currently taking prescription medicine for your high blood pressure?</s>","","",""
"(HLTH40)","","",""
"HIGHBPMED<s>1</s>","Len : 2    TAKING MEDS FOR HIGH BLOOD PRESSURE","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","5015","8.49"
"","2 = No .................................................................................................................................","1479","2.50"
"","85 = BAD DATA Logically assigned .................................................................................","9","0.02"
"","94 = DON'T KNOW ...........................................................................................................","3","0.01"
"","97 = REFUSED ..................................................................................................................","1","0.00"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1528","2.59"
"","99 = LEGITIMATE SKIP ...................................................................................................","51034","86.40"
