variable_name,description
DAMTFXMON,
EDUSKPMON,"During the past 30 days, that is since [DATEFILL], how many whole days did you miss because you skipped or ""cut"" or just didn't want to be there? Please do not include days you missed because you stayed home with a sick child or other family member."
GNNDGET2,"NOTE: In situations where respondents reported getting their last needle ""some other way"" and specified where they got the needle, the variable GNNDGET2 incorporates these ""OTHER, Specify"" data. The last time you used a needle for injecting drugs, how did you get the needle?"
DAMTFXREC,"How long has it been since you last used DMT, AMT or Foxy?"
EIBINGAGE,"NOTE: EIBINGAGE is an ""editing indicator"" for the variable CABINGAGE. The default value of EIBINGAGE is 1, when no editing has been done to CABINGAGE, other than to replace values with ""bad data"" codes or to assign relevant LEGITIMATE SKIP/NEVER USED ALCOHOL codes when the question did not apply. EIBINGAGE has values of 2 when values in CABINGAGE have logically been replaced with other values as part of the data editing procedures."
GNNDLSH1,"The last time you used a needle for injecting drugs, did you use a needle that you knew or suspected someone else had used before?"
DAMTFXYR,
EIBINGMFU,"NOTE: EIBINGMFU is an ""editing indicator"" for the variable CABINGMFU. The default value of EIBINGMFU is 1, when no editing has been done to CABINGMFU, other than to replace values with ""bad data"" codes or to assign relevant LEGITIMATE SKIP/NEVER USED ALCOHOL codes when the question did not apply. EIBINGMFU has values of 2 when values in CABINGMFU have logically been replaced with other values as part of the data editing procedures."
GNNDLSH2,"The last time you used a needle for injecting drugs, did someone else use the needle after you?"
DCIGMON,
EIBINGYFU,"NOTE: EIBINGYFU is an ""editing indicator"" for the variable CABINGYFU. The default value of EIBINGYFU is 1, when no editing has been done to CABINGYFU, other than to replace values with ""bad data"" codes or to assign relevant LEGITIMATE SKIP/NEVER USED ALCOHOL codes when the question did not apply. EIBINGYFU has values of 2 when values in CABINGYFU have logically been replaced with other values as part of the data editing procedures."
GNNDREUS,"Think about the last time you used a needle for injecting drugs. The last time you used a needle for injecting drugs, were you reusing a needle that you had used before?"
DIABETEAG,How old were you when your diabetes or sugar diabetes was first diagnosed?
ENRLCOLLFT2,
GOVTPROG,"NOTE: The variables in this section are recoded variables that were created from one or more of the edited or imputed variables from the two preceding sections. The following variable, GOVTPROG, was created by examination of these government assistance program variables: Supplemental Security Income (IRFAMSSI), food stamps (IRFSTAMP), cash assistance (IRFAMPMT), and non-cash assistance (IRFAMSVC)."
DIABETEVR,
ENRLCOLLST2,
GQTYPE2,
DIFGETCOC,"How difficult or easy would it be for you to get some cocaine, if you wanted some?"
ETHER,"Have you ever, even once, inhaled halothane, ether, or other anesthetics for kicks or to get high?"
GRPCNSL2,
DIFGETCRK,"How difficult or easy would it be for you to get some 'crack', if you wanted some?"
ETHEREVER,
GRPHLTIN,"Was [SAMPLE MEMBER POSS] private health insurance obtained through work, such as through an employer, union, or professional association? It can be through any family member's employment, not just [SAMPLE MEMBER POSS] employment."
DIFGETHER,"How difficult or easy would it be for you to get some heroin, if you wanted some?"
FELTMARKR,"Have you ever, even once, inhaled felt-tip pens, felt-tip markers, or magic markers for kicks or to get high?"
GRSKBNGDLY,
DIFGETLSD,"How difficult or easy would it be for you to get some LSD, if you wanted some?"
FENTANYYR,"The following variable for any past year use of Fentanyl Products, FENTANYYR, was assigned a positive response if a respondent indicated any past year use of Duragesic, Fentora, or generic fentanyl, or past year misuse of other pain relievers that contain fentanyl."
GRSKBNGWK,
DIFGETMRJ,"The next questions ask how difficult you think it would be for you to get each of the following types of drugs, if you wanted some. How difficult or easy would it be for you to get some marijuana, if you wanted some?"
FENTNMYR,"The following variable for past year misuse of Fentanyl Products, FENTNMYR, was assigned a positive response if a respondent indicated past year misuse of Duragesic, Fentora, generic fentanyl, or other pain relievers that contain fentanyl."
GRSKCIGPKD,NOTE: The variables in this section are recoded variables that were created from one or more of the edited variables from the preceding section.
DIFOBTCOC,
FILEDATE,"The following variable, FILEDATE, represents the date the SAS data file was created."
GRSKCOCMON,
DIFOBTCRK,
FLTMRKEVER,
GRSKCOCWK,
DIFOBTHER,
FLVVAPEVR,"Note: Beginning in 2022, edited variables FLVVAPEVR and FLVVAPREC replace variables VAPFLVEVR and VAPFLVREC because of revisions to the skip logic for these questions. The next questions are about vaping flavoring. Have you ever, even once, vaped only flavoring without nicotine or other substances added?"
GRSKHERTRY,
DIFOBTLSD,
FLVVAPFLAG,
GRSKHERWK,
DIFOBTMRJ,
FLVVAPMON,
GRSKLSDTRY,
DMTAMTFXY,"Have you ever, even once, used any of the following: DMT, also called dimethyltryptamine, AMT, also called alpha-methyltryptamine, or Foxy, also called 5-MeO-DIPT?"
FLVVAPREC,How long has it been since you last vaped only flavoring?
GRSKLSDWK,
DRPRVME3,
FLVVAPYR,
GRSKMRJMON,
DRVINAGE,
FPIMFANYYR,
GRSKMRJWK,
DRVINALCO,"During the past 12 months, have you driven a vehicle while you were under the influence of alcohol?"
FPIMFNMYR,
HALFQFLG,
DRVINALCO2,"NOTE: The variables in this section are recoded variables that were created from one or more of the edited variables from the preceding section. NOTE: Certain source variables that were used to create recoded variables have valid values that might not have been reported or assigned for the current survey year. However, these values have been included in the general specifications in the codebook on how the recoded variables were created. See additional details about this issue in the Organization of the Data File section of this codebook introduction."
FRDADLY2,
HALLAGLST,The computer recorded that you last used [LSFILL] [HALLREC FILL]. How old were you the last time you used [LSFILL]?
DRVINALDRG,
FRDMEVR2,
HALLDYPMO,"On average, how many days did you use [LSFILL] each month during the past 12 months?"
DRVINALON,"During the past 12 months, have you driven a vehicle while you were under the influence of alcohol only?"
FRDMJMON,
HALLDYPWK,"On average, how many days did you use [LSFILL] each week during the past 12 months?"
DRVINCOCN,"During the past 12 months, have you driven a vehicle while you were under the influence of [COKEFILL]?"
FRDPCIG2,
HALLDYSYR,On how many days in the past 12 months did you use [LSFILL]?
DRVINDETAG,
FTNDDEPND,
HALLEASWY,"Now think about the past 12 months, from [DATEFILL] through today. We want to know how many days you've used [LSFILL] during the past 12 months. What would be the easiest way for you to tell us how many days you've used it?"
DRVINDRG,"The following variable, DRVINDRG, was created by examination of this driving under the influence list of selected drugs: marijuana (DRVINMARJ), cocaine or crack (DRVINCOCN), heroin (DRVINHERN), hallucinogens (DRVINHALL), inhalants (DRVININHL), and methamphetamine (DRVINMETH). (DRVINCOCN, DRVINHALL, DRVINHERN, DRVININHL, DRVINMARJ, DRVINMETH)"
FUALC18,
HALLMOLST,In what month in [CURRENT YEAR] did you last use [LSFILL]? In what month in [YEAR FROM LU12a or LU12b] did you last use [LSFILL]?
DRVINDROTMJ,"The following variable, DRVINDROTMJ, was created by examination of this driving under the influence list of selected drugs: cocaine or crack (DRVINCOCN), heroin (DRVINHERN), hallucinogens (DRVINHALL), inhalants (DRVININHL), and methamphetamine (DRVINMETH). (DRVINCOCN, DRVINHALL, DRVINHERN, DRVININHL, DRVINMETH)"
FUALC21,
HALLNDAYPM,
DRVINHALL,"During the past 12 months, have you driven a vehicle while you were under the influence of [LSFILL]?"
FUCD218,
HALLNDAYYR,
DRVINHERN,"During the past 12 months, have you driven a vehicle while you were under the influence of heroin?"
FUCD221,
HALLUC30E,What is your best estimate of the number of days you used [LSFILL] during the past 30 days?
DRVININHL,"During the past 12 months, have you driven a vehicle while you were under the influence of any inhalant?"
FUCGR18,
HALLUC30N,"Think specifically about the past 30 days, from [DATEFILL] up to and including today. During the past 30 days, on how many days did you use"
DRVINMARJ,"During the past 12 months, have you driven a vehicle while you were under the influence of marijuana?"
FUCGR21,
HALLUCAGE,How old were you the first time you used [LSFILL]?
DRVINMARJ2,
FUCIG18,
HALLUCEVR,"(DMTAMTFXY, ECSTMOLLY, HALLUCOTH, KETMINESK, LSD, MESC, PCP, PEYOTE, PSILCY, SALVIADIV)"
DRVINMETH,"During the past 12 months, have you driven a vehicle while you were under the influence of methamphetamine?"
FUCIG21,
HALLUCFLAG,
DSTCHR12,During that same month when you were at your worst emotionally... how often did you feel so sad or depressed that nothing could cheer you up?
FUCOC18,
HALLUCMFU,In what month in [CURRENT YEAR] did you first use [LSFILL]? In what month in [YEAR FROM LS03a or LS03b] did you first use [LSFILL]?
DSTCHR30,"During the past 30 days, how often did you feel so sad or depressed that nothing could cheer you up?"
FUCOC21,
HALLUCMON,
