"","IMPUTED ADULT MENTAL HEALTH","",""
"IMPUTED ADULT MENTAL HEALTH","","",""
"(DSTNRV30)","","",""
"IRDSTNRV30","Len : 2    HOW OFTEN FELT NERVOUS PAST 30 DAYS - IMP REV","",""
"","","Freq","Pct"
"","1 = All of the time ...............................................................................................................","1820","3.08"
"","2 = Most of the time ............................................................................................................","3571","6.05"
"","3 = Some of the time ...........................................................................................................","11529","19.52"
"","4 = A little of the time .........................................................................................................","14781","25.02"
"","5 = None of the time ...........................................................................................................","15399","26.07"
"","99 = LEGITIMATE SKIP ...................................................................................................","11969","20.26"
"(DSTNRV30)","","",""
"IIDSTNRV30","Len : 1    HOW OFTEN FELT NERVOUS PAST 30 DAYS - IMP IND","",""
"","","Freq","Pct"
"","1 = Questionnaire data ........................................................................................................","45908","77.72"
"","3 = Statistically imputed data ..............................................................................................","1192","2.02"
"","9 = LEGITIMATE SKIP.....................................................................................................","11969","20.26"
"(DSTHOP30)","","",""
"IRDSTHOP30","Len : 2    HOW OFTEN FELT HOPELESS PAST 30 DAYS - IMP REV","",""
"","","Freq","Pct"
"","1 = All of the time ...............................................................................................................","1074","1.82"
"","2 = Most of the time ............................................................................................................","1822","3.08"
"","3 = Some of the time ...........................................................................................................","5557","9.41"
"","4 = A little of the time .........................................................................................................","9473","16.04"
"","5 = None of the time ...........................................................................................................","29174","49.39"
"","99 = LEGITIMATE SKIP ...................................................................................................","11969","20.26"
"(DSTHOP30)","","",""
"IIDSTHOP30","Len : 1    HOW OFTEN FELT HOPELESS PAST 30 DAYS - IMP IND","",""
"","","Freq","Pct"
"","1 = Questionnaire data ........................................................................................................","45908","77.72"
"","3 = Statistically imputed data ..............................................................................................","1192","2.02"
"","9 = LEGITIMATE SKIP.....................................................................................................","11969","20.26"
"(DSTRST30)","","",""
"IRDSTRST30","Len : 2    HOW OFTEN FELT RESTLESS/FIDGETY PAST 30 DAYS - IMP REV","",""
"","","Freq","Pct"
"","1 = All of the time ...............................................................................................................","1769","2.99"
"","2 = Most of the time ............................................................................................................","3228","5.46"
"","3 = Some of the time ...........................................................................................................","8489","14.37"
"","4 = A little of the time .........................................................................................................","12129","20.53"
"","5 = None of the time ...........................................................................................................","21485","36.37"
"","99 = LEGITIMATE SKIP ...................................................................................................","11969","20.26"
"(DSTRST30)","","",""
"IIDSTRST30","Len : 1    HOW OFTEN FELT RESTLESS/FIDGETY PAST 30 DAYS - IMP IND","",""
"","","Freq","Pct"
"","1 = Questionnaire data ........................................................................................................","45902","77.71"
"","3 = Statistically imputed data ..............................................................................................","1198","2.03"
"","9 = LEGITIMATE SKIP.....................................................................................................","11969","20.26"
"(DSTCHR30)","","",""
"IRDSTCHR30","Len : 2    HOW OFTEN FELT COULDN'T BE CHEERED UP PST 30 DYS - IMP REV","",""
"","","Freq","Pct"
"","1 = All of the time ...............................................................................................................","981","1.66"
"","2 = Most of the time ............................................................................................................","1911","3.24"
"","3 = Some of the time ...........................................................................................................","5447","9.22"
"","4 = A little of the time .........................................................................................................","9502","16.09"
"","5 = None of the time ...........................................................................................................","29259","49.53"
"","99 = LEGITIMATE SKIP ...................................................................................................","11969","20.26"
"Codebook Creation Date: 10/19/2023 ................................................. 453","","",""
