"","ow much did your [FEELNOUN] interfere with your ability to do home management task, like cleaning, shopping, and working around the","",""
"<s>house, apartment, or yard?</s>","","",""
"(AD66A)","","",""
"ADPSHMGT<s>1</s>","Len : 2    HOW MUCH DID FEELINGS INTERFERE WITH HOME MNGMT","",""
"","","Freq","Pct"
"","0 = No Interference .............................................................................................................","90","0.15"
"","1 = Mild - 1 .........................................................................................................................","79","0.13"
"","2 = Mild - 2 .........................................................................................................................","226","0.38"
"","3 = Mild - 3 .........................................................................................................................","306","0.52"
"","4 = Moderate - 4 .................................................................................................................","343","0.58"
"","5 = Moderate - 5 .................................................................................................................","764","1.29"
"","6 = Moderate - 6 .................................................................................................................","860","1.46"
"","7 = Severe - 7 ......................................................................................................................","883","1.49"
"","8 = Severe - 8 ......................................................................................................................","816","1.38"
"","9 = Severe - 9 ......................................................................................................................","343","0.58"
"","10 = Very Severe Interference ............................................................................................","549","0.93"
"","85 = BAD DATA Logically assigned .................................................................................","1","0.00"
"","94 = DON'T KNOW ...........................................................................................................","14","0.02"
"","97 = REFUSED ..................................................................................................................","8","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1521","2.57"
"","99 = LEGITIMATE SKIP ...................................................................................................","52266","88.48"
"D","uring that time in the past 12 months when your [FEELNOUN] was most severe, how much did this interfere with your ability to work?","",""
"Y<s>ou can use any number between 0 and 10 to answer.</s>","","",""
"(AD66B)","","",""
"ADPSWORK<s>1</s>","Len : 2    HOW MUCH DID FEELING INTERFERE WITH ABLTY TO WORK","",""
"","","Freq","Pct"
"","0 = No Interference .............................................................................................................","362","0.61"
"","1 = Mild - 1 .........................................................................................................................","197","0.33"
"","2 = Mild - 2 .........................................................................................................................","373","0.63"
"","3 = Mild - 3 .........................................................................................................................","517","0.88"
"","4 = Moderate - 4 .................................................................................................................","482","0.82"
"","5 = Moderate - 5 .................................................................................................................","724","1.23"
"","6 = Moderate - 6 .................................................................................................................","678","1.15"
"","7 = Severe - 7 ......................................................................................................................","585","0.99"
"","8 = Severe - 8 ......................................................................................................................","496","0.84"
"","9 = Severe - 9 ......................................................................................................................","312","0.53"
"","10 = Very Severe Interference ............................................................................................","533","0.90"
"","85 = BAD DATA Logically assigned .................................................................................","1","0.00"
"","94 = DON'T KNOW ...........................................................................................................","15","0.03"
"","97 = REFUSED ..................................................................................................................","6","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1522","2.58"
"","99 = LEGITIMATE SKIP ...................................................................................................","52266","88.48"
