variable_name,description
UDMJTRYSTOP,"During the past 12 months, did you try to cut down or try to stop using marijuana or any cannabis product?"
UDSTWDTIRED,"During the past 12 months, did you have the following withdrawal symptoms after you used less or stopped using prescription stimulants for a while? Feeling tired or exhausted"
WRKDPSTWK,"The next questions are about working. Did you work at a job or business at any time last week? By last week, I mean the week beginning on Sunday, [STARTDATE] and ending on Saturday, [ENDDATE]."
UDMJWANTBAD,"During the past 12 months, were there times when you wanted to use marijuana or any cannabis product so badly that you couldn't think of anything else?"
UDSTWORKPRB,"Sometimes people who use prescription stimulants have serious problems at work, school, or home—such as: • missing a lot of work or school • getting demoted, having your hours cut, or losing a job • not being able to get a job or keep a job • getting suspended, expelled, or dropping out of school • failing to take care of family During the past 12 months, did you have any serious problems like these at work, school, or home because of your use of any prescription stimulants?"
WRKDPSTYR,"Now, think about the past 12 months, from [DATEFILL] through today. Did you work at a job or business at any time during the past 12 months?"
UDMJWDANGRY,"People may experience withdrawal symptoms when they use less or stop using marijuana or any cannabis product. During the past 12 months, did you have the following withdrawal symptoms after you used less or stopped using marijuana or any cannabis product for a while? Feeling irritable or angry"
UDSTWSHSTOP,"In the past 12 months, did you often wish that you could cut down or stop using any prescription stimulants?"
WRKDRGALB,"Does this policy cover only alcohol, only drugs, or both alcohol and drugs?"
UDMJWDAPPET,Losing your appetite or losing weight without trying to
UDSVAVOIDWD,"During the past 12 months, did you use any prescription sedatives or other drugs to get over or avoid having prescription sedative withdrawal symptoms?"
WRKDRGEDU,"At your workplace, have you ever been given any educational information regarding the use of alcohol or drugs?"
UDMJWDCHILL,Chills
UDSVAVWALCO,Alcohol
WRKDRGHLP,"Through your workplace, is there access to any type of employee assistance program or other type of counseling program for employees who have alcohol or drug-related problems?"
UDMJWDDEPRS,Feeling depressed
UDSVAVWOTHR,Something else
WRKDRGPOL,"At your workplace, is there a written policy about employee use of alcohol or drugs?"
UDMJWDFEVER,Fever
UDSVAVWSVTR,"Which of the following did you use to get over or avoid having prescription sedative withdrawal symptoms during the past 12 months? Prescription sedatives, tranquilizers, sleeping pills, or downers"
WRKEFFORT,"During the past 30 days, did you make specific efforts to find work? Include any contacts you made with anyone about a job, sending out resumes or applications, placing or answering ads. Do not include only reading job ads."
UDMJWDFLANX,Feeling anxious or nervous
UDSVFMLYCTD,Did you continue to use any prescription sedatives even though they often caused arguments or problems with family or friends?
WRKHADJOB,"Even though you did not work at any time last week, did you have a job or business?"
UDMJWDHEDAC,Headache
UDSVFMLYPRB,"During the past 12 months, did you often have arguments or other problems with family or friends that were caused or made worse by your use of a prescription sedative?"
WRKLASTYR2,In what year did you last work at a job or business?
UDMJWDSHAKE,Shaking or tremors
UDSVGETHURT,"During the past 12 months, did you repeatedly get into situations where using a prescription sedative increased your chances of getting physically hurt?"
WRKNJBPYR,"During the past 12 months, was there ever a time when you did not have at least one job or business?"
UDMJWDSITST,Feeling like you couldn’t sit still
UDSVHLTHCTD,Did you continue to use any prescription sedatives even though they were causing long-lasting or repeated physical health problems or making your physical health problems worse?
WRKNJBWKS,In how many weeks during the past 12 months did you not have at least one job or business?
UDMJWDSLEEP,Having trouble sleeping
UDSVHLTHPRB,"During the past 12 months, did you have any long-lasting or repeated physical health problems that were caused or made worse by using a prescription sedative?"
WRKNUMJOB2,"How many different employers, including yourself, have you had in the past 12 months?"
UDMJWDSTMCH,"During the past 12 months, did you have the following withdrawal symptoms after you used less or stopped using marijuana or any cannabis product for a while? Stomach ache"
UDSVLESSEFF,Does using the same amount of any prescription sedatives have much less effect on you than it used to?
WRKOKPREH,Would you be more or less likely to want to work for an employer that tests its employees for drug use as part of the hiring process?
UDMJWDSWEAT,Sweating
UDSVLRGAMTS,"During the past 12 months, were there many times when you ended up using any prescription sedatives in larger amounts or for a longer time than you meant to?"
WRKOKRAND,Would you be more or less likely to want to work for an employer that tests its employees for drug or alcohol use on a random basis?
UDMJWORKPRB,"Sometimes people who use marijuana or any cannabis product have serious problems at work, school, or home—such as: • missing a lot of work or school • getting demoted, having your hours cut, or losing a job • not being able to get a job or keep a job • getting suspended, expelled, or dropping out of school • failing to take care of family During the past 12 months, did you have any serious problems like these at work, school, or home because of your use of marijuana or any cannabis product?"
UDSVMNTLCTD,Did you continue to use any prescription sedatives even though they were causing long-lasting or repeated problems with your emotions or mental health or making your emotions or mental health worse?
WRKRSNJOB,Which one of these reasons best describes why you did not have a job or business last week?
UDMJWSHSTOP,"In the past 12 months, did you often wish that you could cut down or stop using marijuana or any cannabis product?"
UDSVMNTLPRB,"During the past 12 months, did you have any long-lasting or repeated problems with emotions or mental health that were caused or made worse by using a prescription sedative?"
WRKRSNNOT,Which one of these reasons best describes why you did not work last week?
UDPRAVOIDWD,"During the past 12 months, did you use any prescription pain relievers or other drugs to get over or avoid having prescription pain reliever withdrawal symptoms?"
UDSVNEEDMOR,Do you need to use a lot more of any prescription sedatives than you used to in order to get the feeling you want?
WRKSELFEM,Have you been self-employed at any time during the past 12 months?
UDPRAVWHERN,Heroin
UDSVNOTSTOP,Some people who use prescription sedatives try to cut down or stop but find they can’t. Was there more than one time in the past 12 months when you tried but were unable to cut down or stop using any prescription sedatives?
WRKSICKMO,"During the past 30 days, that is from [DATEFILL] up to and including today, how many whole days of work did you miss because you were sick or injured?"
UDPRAVWOTHR,Something else
