"","INDEX",""
"IRHERRC ............................... 181","IRPMNICDEP ........................ 68","IRTRQNMREC ...................... 186"
"IRHERYFU ............................. 201","IRPNRANYREC .................... 184","IRTRQNMYFU ...................... 205"
"IRHH65_2 ............................... 29","IRPNRNM30FQ ..................... 195","IRUD5PNRMIS ...................... 362"
"IRHHSIZ2 ............................... 28","IRPNRNMAGE ...................... 205","IRUD5PNRUNM .................... 362"
"IRIMFREC .............................. 548","IRPNRNMINIT ...................... 204","IRUD5SEDMIS ...................... 363"
"IRIMPCONCN........................ 456","IRPNRNMREC ...................... 185","IRUD5SEDUNM .................... 363"
"IRIMPGOUT .......................... 457","IRPNRNMYFU ...................... 205","IRUD5STMMIS...................... 363"
"IRIMPGOUTM ....................... 457","IRPRVHLT ............................ 36","IRUD5STMUNM ................... 363"
"IRIMPHHLD .......................... 458","IRPYSEV5ALC ..................... 364","IRUD5TRQMIS ...................... 362"
"IRIMPHHLDM ....................... 458","IRPYSEV5COC ..................... 364","IRUD5TRQUNM .................... 362"
"IRIMPPEOP ............................ 457","IRPYSEV5HAL ..................... 365","IRWELMOS ........................... 40"
"IRIMPPEOPM ........................ 457","IRPYSEV5HER ..................... 365","IRWRKSTAT ......................... 27"
"IRIMPREMEM ....................... 456","IRPYSEV5INH ...................... 365","IRWRKSTAT18 ..................... 27"
"IRIMPRESP ............................ 459","IRPYSEV5MRJ ...................... 364","KETMINESK ......................... 117"
"IRIMPRESPM ........................ 459","IRPYSEV5MTH ..................... 366","KETMINFLAG ....................... 214"
"IRIMPSOC .............................. 458","IRPYUD5ALC ....................... 360","KETMINMON ........................ 214"
"IRIMPSOCM .......................... 458","IRPYUD5COC ....................... 360","KETMINREC ......................... 129"
"IRIMPWORK ......................... 459","IRPYUD5HAL ....................... 361","KETMINYR ........................... 214"
"IRINHAL30N ......................... 194","IRPYUD5HER ....................... 361","KIDNYDSAG ......................... 540"
"IRINHALAGE ........................ 203","IRPYUD5INH ........................ 361","KIDNYDSEV ......................... 534"
"IRINHALREC ........................ 183","IRPYUD5MRJ ....................... 360","KRATEVER ........................... 544"
"IRINHALYFQ ........................ 190","IRPYUD5MTH ...................... 361","KRATOMFLAG ..................... 549"
"IRINHALYFU ........................ 203","IRSALVIAREC ...................... 183","KRATOMMON ...................... 549"
"IRINSUR4............................... 38","IRSEDANYREC .................... 185","KRATOMYR .......................... 549"
"IRKETMINREC ..................... 182","IRSEDNM30FQ ..................... 196","KRATREC .............................. 544"
"IRKI17_2 ................................ 28","IRSEDNMAGE ...................... 207","KSSLR6MAX ......................... 462"
"IRKRATREC .......................... 547","IRSEDNMINIT ...................... 204","KSSLR6MON ......................... 462"
"IRLSDAGE ............................. 201","IRSEDNMREC ...................... 187","KSSLR6MONED .................... 451"
"IRLSDRC ................................ 181","IRSEDNMYFU ...................... 206","KSSLR6YR............................. 462"
"IRLSDYFU ............................. 202","IRSEVPNRMIS ...................... 366","KSSLR6YRED ....................... 452"
"IRMARIT ................................ 13","IRSEVPNRUNM.................... 366","LANGVER ............................. 559"
"IRMCDCHP ............................ 36","IRSEVSEDMIS ...................... 368","LGAS ...................................... 132"
"IRMEDICR ............................. 36","IRSEVSEDUNM .................... 368","LGASEVER ............................ 225"
"IRMETHAM30N .................... 195","IRSEVSTMMIS ..................... 367","LMIPY .................................... 464"
"IRMETHAMAGE ................... 203","IRSEVSTMUNM ................... 367","LMMIPY ................................ 465"
"IRMETHAMREC ................... 183","IRSEVTRQMIS ..................... 366","LMMISUD5ANY ................... 465"
"IRMETHAMYFQ ................... 190","IRSEVTRQUNM ................... 367","LSD ......................................... 116"
"IRMETHAMYFU ................... 203","IRSEX .................................... 13","LSDAGE ................................. 126"
"IRMHTERED ......................... 520","IRSMKLSS30N ...................... 191","LSDAGLST ............................ 383"
"IRMHTINHOSP ..................... 520","IRSMKLSSREC ..................... 178","LSDFLAG .............................. 213"
"IRMHTINOPL ........................ 520","IRSMKLSSTRY ..................... 198","LSDMFU ................................ 127"
"IRMHTINRHAB..................... 520","IRSMKLSSYFU ..................... 198","LSDMLU ................................ 384"
"IRMHTINRSMH .................... 520","IRSTMANYREC.................... 185","LSDMON................................ 213"
"IRMHTOUTDOC ................... 521","IRSTMNM30FQ .................... 195","LSDREC ................................. 127"
"IRMHTOUTHOSP ................. 521","IRSTMNMAGE ..................... 206","LSDYFU ................................. 126"
"IRMHTOUTMHCR ................ 521","IRSTMNMINIT...................... 204","LSDYLU ................................. 383"
"IRMHTOUTOPL .................... 522","IRSTMNMREC ...................... 186","LSDYR ................................... 213"
"IRMHTOUTRHAB ................. 521","IRSTMNMYFU ..................... 206","LVLDIFCARE2 ...................... 12"
"IRMHTOUTSCHL ................. 522","IRSUICTHNK ........................ 459","LVLDIFCOMM2 .................... 12"
"IRMHTOUTTHRP ................. 521","IRSUIPLANYR ...................... 460","LVLDIFHEAR2...................... 11"
"IRMHTPEERSPC ................... 522","IRSUITRYYR ........................ 460","LVLDIFMEM2 ....................... 12"
"IRMHTPHVID........................ 522","IRSUTDETOX ....................... 402","LVLDIFSEE2 ......................... 11"
"IRMHTRXMED ..................... 522","IRSUTERED .......................... 399","LVLDIFWALK2 .................... 11"
"IRMHTSUPPGRP................... 520","IRSUTINHOSP ...................... 399","MAIIN102 .............................. 6"
"IRMJAGE ............................... 199","IRSUTINOPL ......................... 400","MDEIMPY .............................. 513"
"IRMJFM .................................. 193","IRSUTINRHAB ..................... 399","MEDICARE ............................ 31"
"IRMJFY .................................. 188","IRSUTINRSMH ..................... 399","MEDMJPA2 ........................... 94"
"IRMJMONVAPE .................... 180","IRSUTOUTDOC .................... 400","MEFQFLG .............................. 141"
"IRMJRC .................................. 179","IRSUTOUTHOSP .................. 400","MESC ..................................... 116"
"IRMJYFU ............................... 199","IRSUTOUTMHCR ................. 400","MESCEVER ........................... 224"
"IRMJYRVAPE........................ 180","IRSUTOUTOPL ..................... 401","METHAGLST ........................ 387"
"IRNICVAP30N ....................... 192","IRSUTOUTRHAB ................. 400","METHAM30E ........................ 143"
"IRNICVAPAGE ...................... 198","IRSUTOUTSCHL .................. 401","METHAM30N ........................ 143"
"IRNICVAPREC ...................... 178","IRSUTOUTTHRP .................. 400","METHAMAGE ....................... 140"
"IRNICVAPYFU ...................... 199","IRSUTPEERSPC .................... 402","METHAMEVR ....................... 140"
"IRNPCOLDREC ..................... 270","IRSUTPHVID ........................ 401","METHAMFLAG .................... 215"
"IROTHHLT ............................. 37","IRSUTRXALC ....................... 401","METHAMMFU ...................... 141"
"IROXCNANYYR ................... 184","IRSUTRXDRG ....................... 401","METHAMMON...................... 215"
"IROXCNNMYR ..................... 186","IRSUTSUPPGRP ................... 399","METHAMREC ....................... 141"
"IRPCPAGE ............................. 202","IRSYNMRJREC ..................... 547","METHAMYFQ ....................... 141"
"IRPCPRC ................................ 182","IRSYNSTMREC .................... 547","METHAMYFU ....................... 140"
"IRPCPYFU ............................. 202","IRTRQANYREC .................... 184","METHAMYR ......................... 215"
"IRPINC3 ................................. 41","IRTRQNM30FQ ..................... 195","METHDYPMO ....................... 142"
"IRPIPLF .................................. 177","IRTRQNMAGE...................... 205","METHDYPWK ....................... 142"
"IRPIPMN ................................ 178","IRTRQNMINIT ...................... 204","METHDYSYR ........................ 142"
"Codebook Creation Date: 10/19/2023 ................................................. 565","",""
