"<s>Did you gain weight without trying to during that [TIMEFILL] period of time?</s>","","",""
"(YD26C)","","",""
"YOWRGAIN<s>1</s>","Len : 2    WHEN PRBLMS WORST DID YOU GAIN WEIGHT W/O TRYING","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","467","0.79"
"","2 = No .................................................................................................................................","721","1.22"
"","94 = DON'T KNOW ...........................................................................................................","46","0.08"
"","97 = REFUSED ..................................................................................................................","6","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","351","0.59"
"","99 = LEGITIMATE SKIP ...................................................................................................","57478","97.31"
"D<s>id you gain weight without trying to because you were growing?</s>","","",""
"(YD26C1)","","",""
"YOWRGROW<s>1</s>","Len : 2    WHEN PRBLMS WORST GAIN WGHT W/O TRYING BC GROWING","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","194","0.33"
"","2 = No .................................................................................................................................","233","0.39"
"","94 = DON'T KNOW ...........................................................................................................","40","0.07"
"","98 = BLANK (NO ANSWER) ...........................................................................................","403","0.68"
"","99 = LEGITIMATE SKIP ...................................................................................................","58199","98.53"
"D<s>id you gain weight without trying to because you were pregnant?</s>","","",""
"(YD26C2)","","",""
"YOWRPREG<s>1</s>","Len : 2    WHEN PRBLMS WRST GAIN WGHT W/O TRYING BC PREGNANT","",""
"","","Freq","Pct"
"","2 = No .................................................................................................................................","184","0.31"
"","94 = DON'T KNOW ...........................................................................................................","1","0.00"
"","98 = BLANK (NO ANSWER) ...........................................................................................","213","0.36"
"","99 = LEGITIMATE SKIP ...................................................................................................","58671","99.33"
"How many pounds did you gain?","","",""
"P<s>lease enter your answer as a whole number.</s>","","",""
"(YD26D)","","",""
"YOWRGNL2<s>1</s>","Len : 3    WHEN PRBLMS WORST # LBS GAINED WITHOUT TRYING","",""
"","","Freq","Pct"
"","RANGE = 1 - 20 .................................................................................................................","144","0.24"
"","21 = 21 to 25 pounds ...........................................................................................................","16","0.03"
"","22 = 26 to 30 pounds ...........................................................................................................","13","0.02"
"","23 = 31 to 35 pounds ...........................................................................................................","2","0.00"
"","24 = 36 to 40 pounds ...........................................................................................................","10","0.02"
"","25 = 41 to 45 pounds ...........................................................................................................","5","0.01"
"","26 = 46 to 50 pounds ...........................................................................................................","8","0.01"
"","27 = 51 or more pounds ......................................................................................................","20","0.03"
"","994 = DON'T KNOW .........................................................................................................","46","0.08"
"","997 = REFUSED ................................................................................................................","9","0.02"
"","998 = BLANK (NO ANSWER)..........................................................................................","403","0.68"
"","999 = LEGITIMATE SKIP .................................................................................................","58393","98.86"
"D<s>id you lose weight without trying to?</s>","","",""
"(YD26E)","","",""
"YOWRLOSE<s>1</s>","Len : 2    WHEN PRBLMS WORST DID YOU LOSE WEIGHT W/O TRYING","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","1457","2.47"
"","2 = No .................................................................................................................................","1298","2.20"
"","85 = BAD DATA Logically assigned .................................................................................","1","0.00"
"","94 = DON'T KNOW ...........................................................................................................","93","0.16"
"","97 = REFUSED ..................................................................................................................","8","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","361","0.61"
"","99 = LEGITIMATE SKIP ...................................................................................................","55851","94.55"
