"h<s>ow often did you feel so sad or depressed that nothing could cheer you up?</s>","","",""
"(DSNOCHR)","","",""
"DSTCHR12<s>1</s>","Len : 2    HOW OFTEN COULDN'T BE CHEERED UP IN WORST MONTH","",""
"","","Freq","Pct"
"","1 = All of the time ...............................................................................................................","2194","3.71"
"","2 = Most of the time ............................................................................................................","3351","5.67"
"","3 = Some of the time ...........................................................................................................","3986","6.75"
"","4 = A little of the time .........................................................................................................","3479","5.89"
"","5 = None of the time ...........................................................................................................","3045","5.15"
"","85 = BAD DATA Logically assigned .................................................................................","5","0.01"
"","94 = DON'T KNOW ...........................................................................................................","14","0.02"
"","97 = REFUSED ..................................................................................................................","113","0.19"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1161","1.97"
"","99 = LEGITIMATE SKIP ...................................................................................................","41721","70.63"
"During that same month when you were at your worst emotionally...","","",""
"h<s>ow often did you feel that everything was an effort?</s>","","",""
"(DSEFFORT)","","",""
"DSTEFF12<s>1</s>","Len : 2    HOW OFT FELT EVERYTHING AN EFFORT IN WORST MON","",""
"","","Freq","Pct"
"","1 = All of the time ...............................................................................................................","3194","5.41"
"","2 = Most of the time ............................................................................................................","3843","6.51"
"","3 = Some of the time ...........................................................................................................","3890","6.59"
"","4 = A little of the time .........................................................................................................","3253","5.51"
"","5 = None of the time ...........................................................................................................","1860","3.15"
"","85 = BAD DATA Logically assigned .................................................................................","5","0.01"
"","94 = DON'T KNOW ...........................................................................................................","25","0.04"
"","97 = REFUSED ..................................................................................................................","117","0.20"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1161","1.97"
"","99 = LEGITIMATE SKIP ...................................................................................................","41721","70.63"
"During that same month when you were at your worst emotionally...","","",""
"h<s>ow often did you feel down on yourself, no good, or worthless?</s>","","",""
"(DSDOWN)","","",""
"DSTNGD12<s>1</s>","Len : 2    HOW OFTEN FELT NO GOOD IN WORST MONTH","",""
"","","Freq","Pct"
"","1 = All of the time ...............................................................................................................","2432","4.12"
"","2 = Most of the time ............................................................................................................","3150","5.33"
"","3 = Some of the time ...........................................................................................................","3705","6.27"
"","4 = A little of the time .........................................................................................................","3204","5.42"
"","5 = None of the time ...........................................................................................................","3555","6.02"
"","85 = BAD DATA Logically assigned .................................................................................","5","0.01"
"","94 = DON'T KNOW ...........................................................................................................","15","0.03"
"","97 = REFUSED ..................................................................................................................","120","0.20"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1162","1.97"
"","99 = LEGITIMATE SKIP ...................................................................................................","41721","70.63"
"D","uring that one month when your emotions, nerves or mental health interfered most with your daily activities...","",""
"h<s>ow much difficulty did you have remembering to do things you needed to do?</s>","","",""
"(LIREMEM)","","",""
"IMPREMEM<s>1</s>","Len : 2    DIFFICULTY REMEMBERING ONE MO IN PST 12 MOS","",""
"","","Freq","Pct"
"","1 = No difficulty .................................................................................................................","16211","27.44"
"","2 = Mild difficulty...............................................................................................................","12104","20.49"
"","3 = Moderate difficulty .......................................................................................................","5680","9.62"
"","4 = Severe difficulty............................................................................................................","1973","3.34"
"","85 = BAD DATA Logically assigned .................................................................................","21","0.04"
"","94 = DON'T KNOW ...........................................................................................................","77","0.13"
"","97 = REFUSED ..................................................................................................................","45","0.08"
"","98 = BLANK (NO ANSWER) ...........................................................................................","48","0.08"
"","99 = LEGITIMATE SKIP ...................................................................................................","22910","38.79"
