"","HEALTH","",""
"(HLTH2509)","","",""
"CANCEREVR<s>1</s>","Len : 2    EVER TOLD HAD CANCER","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","1948","3.30"
"","2 = No (not entered) ............................................................................................................","15487","26.22"
"","85 = BAD DATA Logically assigned .................................................................................","9","0.02"
"","94 = DON'T KNOW ...........................................................................................................","396","0.67"
"","97 = REFUSED ..................................................................................................................","256","0.43"
"","98 = BLANK (NO ANSWER) ...........................................................................................","875","1.48"
"","99 = LEGITIMATE SKIP ...................................................................................................","40098","67.88"
"(HLTH2510)","","",""
"HIGHBPEVR<s>1</s>","Len : 2    EVER TOLD HAD HIGH BLOOD PRESSURE","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","6499","11.00"
"","2 = No (not entered) ............................................................................................................","10936","18.51"
"","85 = BAD DATA Logically assigned .................................................................................","9","0.02"
"","94 = DON'T KNOW ...........................................................................................................","396","0.67"
"","97 = REFUSED ..................................................................................................................","256","0.43"
"","98 = BLANK (NO ANSWER) ...........................................................................................","875","1.48"
"","99 = LEGITIMATE SKIP ...................................................................................................","40098","67.88"
"(HLTH2511)","","",""
"NONABOVEV<s>1</s>","Len : 2    NEVER HAD ANY OF THESE CONDITIONS","",""
"","","Freq","Pct"
"","2 = No (not entered) ............................................................................................................","17435","29.52"
"","85 = BAD DATA Logically assigned .................................................................................","8","0.01"
"","94 = DON'T KNOW ...........................................................................................................","396","0.67"
"","95 = Response entered ........................................................................................................","40098","67.88"
"","97 = REFUSED ..................................................................................................................","256","0.43"
"","98 = BLANK (NO ANSWER) ...........................................................................................","876","1.48"
"What kind of cancer was it? Enter all that apply.","","",""
"T","<s>o select more than one category, press the space bar between the numbers. When you have finished, press [ENTER].</s>","",""
"(HLTH2601)","","",""
"CABLADDER<s>1</s>","Len : 2    TYPE OF CANCER: BLADDER","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","40","0.07"
"","2 = No (not entered) ............................................................................................................","1863","3.15"
"","85 = BAD DATA Logically assigned .................................................................................","47","0.08"
"","94 = DON'T KNOW ...........................................................................................................","5","0.01"
"","97 = REFUSED ..................................................................................................................","2","0.00"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1527","2.59"
"","99 = LEGITIMATE SKIP ...................................................................................................","55585","94.10"
"(HLTH2602, HLTH2612, HLTH2615)","","",""
"CABLOLEULYM","Len : 2    TYPE OF CANCER: BLOOD/LEUKEMIA/LYMPHOMA","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","185","0.31"
"","2 = No (not entered) ............................................................................................................","1718","2.91"
"","85 = BAD DATA Logically assigned .................................................................................","47","0.08"
"","94 = DON'T KNOW ...........................................................................................................","5","0.01"
"","97 = REFUSED ..................................................................................................................","2","0.00"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1527","2.59"
"","99 = LEGITIMATE SKIP ...................................................................................................","55585","94.10"
"(HLTH2603, HLTH2604, HLTH2624, HLTH2630)","","",""
"CAOTHER2","Len : 2    TYPE OF CANCER: OTHER","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","151","0.26"
"","2 = No (not entered) ............................................................................................................","1752","2.97"
"","85 = BAD DATA Logically assigned .................................................................................","47","0.08"
"","94 = DON'T KNOW ...........................................................................................................","5","0.01"
"","97 = REFUSED ..................................................................................................................","2","0.00"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1527","2.59"
"","99 = LEGITIMATE SKIP ...................................................................................................","55585","94.10"
"Codebook Creation Date: 10/19/2023 ................................................. 535","","",""
