"","ADULT DEPRESSION","",""
"(AD86A)","","",""
"ADHERBAL<s>1</s>","Len : 2    HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS","",""
"","","Freq","Pct"
"","1 = Response entered ..........................................................................................................","220","0.37"
"","3 = Response entered LOGICALLY ASSIGNED ..............................................................","1","0.00"
"","6 = Response not entered ....................................................................................................","4293","7.27"
"","94 = DON'T KNOW ...........................................................................................................","6","0.01"
"","97 = REFUSED ..................................................................................................................","17","0.03"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1452","2.46"
"","99 = LEGITIMATE SKIP ...................................................................................................","53080","89.86"
"(AD86A)","","",""
"ADOTHHLP<s>1</s>","Len : 2    OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS","",""
"","","Freq","Pct"
"","1 = Response entered ..........................................................................................................","184","0.31"
"","6 = Response not entered ....................................................................................................","4330","7.33"
"","85 = BAD DATA Logically assigned .................................................................................","1","0.00"
"","94 = DON'T KNOW ...........................................................................................................","6","0.01"
"","97 = REFUSED ..................................................................................................................","17","0.03"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1451","2.46"
"","99 = LEGITIMATE SKIP ...................................................................................................","53080","89.86"
"A<s>re you currently receiving professional treatment or counseling for [NUMPROBS] with your mood?</s>","","",""
"(AD86B)","","",""
"ADTMTNOW<s>1</s>","Len : 2    CURRENTLY RCVNG PROF TREATMENT/COUNSLG FOR MOOD","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","3023","5.12"
"","2 = No .................................................................................................................................","1496","2.53"
"","85 = BAD DATA Logically assigned .................................................................................","1","0.00"
"","94 = DON'T KNOW ...........................................................................................................","4","0.01"
"","97 = REFUSED ..................................................................................................................","14","0.02"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1451","2.46"
"","99 = LEGITIMATE SKIP ...................................................................................................","53080","89.86"
"D<s>uring the past 12 months, did you take prescription medication that was prescribed for [NUMPROBS]?</s>","","",""
"(AD86C)","","",""
"ADRX12MO<s>1</s>","Len : 2    TAKE PRES MEDS PRESCRIBED FOR MOOD PAST 12 MONTHS","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","3839","6.50"
"","2 = No .................................................................................................................................","5519","9.34"
"","85 = BAD DATA Logically assigned .................................................................................","1","0.00"
"","94 = DON'T KNOW ...........................................................................................................","7","0.01"
"","97 = REFUSED ..................................................................................................................","12","0.02"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1445","2.45"
"","99 = LEGITIMATE SKIP ...................................................................................................","48246","81.68"
"A<s>re you currently taking prescription medication that was prescribed for [NUMPROBS]?</s>","","",""
"(AD86D)","","",""
"ADRXNOW<s>1</s>","Len : 2    CURRENTLY TAKING PRESC MEDS PRESCRIBED FOR MOOD","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","3306","5.60"
"","2 = No .................................................................................................................................","531","0.90"
"","85 = BAD DATA Logically assigned .................................................................................","1","0.00"
"","94 = DON'T KNOW ...........................................................................................................","1","0.00"
"","97 = REFUSED ..................................................................................................................","13","0.02"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1452","2.46"
"","99 = LEGITIMATE SKIP ...................................................................................................","53765","91.02"
