"Y<s>ou can use any number between 0 and 10 to answer.</s>","","",""
"(YD66C)","","",""
"YOPSRELS<s>1</s>","Len : 2    HOW MUCH DID FLNGS INTRFR W/GETTING ALONG W/FAM","",""
"","","Freq","Pct"
"","0 = No Problems .................................................................................................................","80","0.14"
"","1 = Mild - 1 .........................................................................................................................","60","0.10"
"","2 = Mild - 2 .........................................................................................................................","131","0.22"
"","3 = Mild - 3 .........................................................................................................................","183","0.31"
"","4 = Moderate - 4 .................................................................................................................","212","0.36"
"","5 = Moderate - 5 .................................................................................................................","302","0.51"
"","6 = Moderate - 6 .................................................................................................................","282","0.48"
"","7 = Severe - 7 ......................................................................................................................","299","0.51"
"","8 = Severe - 8 ......................................................................................................................","282","0.48"
"","9 = Severe - 9 ......................................................................................................................","203","0.34"
"","10 = Very Severe Problems.................................................................................................","244","0.41"
"","85 = BAD DATA Logically assigned .................................................................................","1","0.00"
"","94 = DON'T KNOW ...........................................................................................................","17","0.03"
"","97 = REFUSED ..................................................................................................................","8","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","436","0.74"
"","99 = LEGITIMATE SKIP ...................................................................................................","56329","95.36"
"How much did your [FEELNOUN] cause problems with your social life during that time?","","",""
"Y<s>ou can use any number between 0 and 10 to answer.</s>","","",""
"(YD66D)","","",""
"YOPSSOC<s>1</s>","Len : 2    HOW MUCH DID FEELINGS INTERFERE WITH SOCIAL LIFE","",""
"","","Freq","Pct"
"","0 = No Problems .................................................................................................................","55","0.09"
"","1 = Mild - 1 .........................................................................................................................","44","0.07"
"","2 = Mild - 2 .........................................................................................................................","104","0.18"
"","3 = Mild - 3 .........................................................................................................................","141","0.24"
"","4 = Moderate - 4 .................................................................................................................","187","0.32"
"","5 = Moderate - 5 .................................................................................................................","249","0.42"
"","6 = Moderate - 6 .................................................................................................................","284","0.48"
"","7 = Severe - 7 ......................................................................................................................","317","0.54"
"","8 = Severe - 8 ......................................................................................................................","326","0.55"
"","9 = Severe - 9 ......................................................................................................................","232","0.39"
"","10 = Very Severe Problems.................................................................................................","332","0.56"
"","85 = BAD DATA Logically assigned .................................................................................","1","0.00"
"","94 = DON'T KNOW ...........................................................................................................","23","0.04"
"","97 = REFUSED ..................................................................................................................","9","0.02"
"","98 = BLANK (NO ANSWER) ...........................................................................................","436","0.74"
"","99 = LEGITIMATE SKIP ...................................................................................................","56329","95.36"
"N","OTE: Beginning with the 2008 survey, respondents who answered ""don't know"" or ""refused"" to questions corresponding to the variables","",""
"","YOPSHMGT, YOPSWORK, YOPSRELS, and YOPSSOC are no longer asked the question corresponding to YOPSDAYS unless they entered a","",""
"response of 1 to 10 in at least one of the other questions corresponding to YOPSHMGT through YOPSSOC.","","",""
"A","bout how many days out of 365 in the past 12 months were you totally unable to go to school or work or carry out your normal activities because","",""
"of your [FEELNOUN]?","","",""
"Y<s>ou can use any number between 0 and 365 to answer.</s>","","",""
"(YD68)","","",""
"YOPSDAYS<s>1</s>","Len : 3    # DYS UNABLE TO WORK/CARRY OUT DLY ACT PST 12 MOS","",""
"","","Freq","Pct"
"","RANGE = 0 - 365 ...............................................................................................................","2113","3.58"
"","985 = BAD DATA Logically assigned ...............................................................................","1","0.00"
"","994 = DON'T KNOW .........................................................................................................","150","0.25"
"","997 = REFUSED ................................................................................................................","15","0.03"
"","998 = BLANK (NO ANSWER)..........................................................................................","455","0.77"
"","999 = LEGITIMATE SKIP .................................................................................................","56335","95.37"
