"D<s>uring that month, how often did you feel nervous?</s>","","",""
"(DSNERV1)","","",""
"DSTNRV12<s>1</s>","Len : 2    HOW OFT FELT NERVOUS IN WORST MONTH, PST 12 MOS","",""
"","","Freq","Pct"
"","1 = All of the time ...............................................................................................................","2677","4.53"
"","2 = Most of the time ............................................................................................................","4615","7.81"
"","3 = Some of the time ...........................................................................................................","5180","8.77"
"","4 = A little of the time .........................................................................................................","2868","4.86"
"","5 = None of the time ...........................................................................................................","718","1.22"
"","85 = BAD DATA Logically assigned .................................................................................","5","0.01"
"","94 = DON'T KNOW ...........................................................................................................","16","0.03"
"","97 = REFUSED ..................................................................................................................","110","0.19"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1159","1.96"
"","99 = LEGITIMATE SKIP ...................................................................................................","41721","70.63"
"During that same month when you were at your worst emotionally...","","",""
"h<s>ow often did you feel hopeless?</s>","","",""
"(DSHOPE)","","",""
"DSTHOP12<s>1</s>","Len : 2    HOW OFTEN FELT HOPELESS IN WORST MONTH","",""
"","","Freq","Pct"
"","1 = All of the time ...............................................................................................................","2246","3.80"
"","2 = Most of the time ............................................................................................................","3324","5.63"
"","3 = Some of the time ...........................................................................................................","4206","7.12"
"","4 = A little of the time .........................................................................................................","3237","5.48"
"","5 = None of the time ...........................................................................................................","3040","5.15"
"","85 = BAD DATA Logically assigned .................................................................................","5","0.01"
"","94 = DON'T KNOW ...........................................................................................................","18","0.03"
"","97 = REFUSED ..................................................................................................................","112","0.19"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1160","1.96"
"","99 = LEGITIMATE SKIP ...................................................................................................","41721","70.63"
"During that same month when you were at your worst emotionally...","","",""
"h<s>ow often did you feel restless or fidgety?</s>","","",""
"(DSFIDG)","","",""
"DSTRST12<s>1</s>","Len : 2    HOW OFTEN FELT RESTLESS IN WORST MONTH","",""
"","","Freq","Pct"
"","1 = All of the time ...............................................................................................................","2131","3.61"
"","2 = Most of the time ............................................................................................................","3204","5.42"
"","3 = Some of the time ...........................................................................................................","4516","7.65"
"","4 = A little of the time .........................................................................................................","3778","6.40"
"","5 = None of the time ...........................................................................................................","2419","4.10"
"","85 = BAD DATA Logically assigned .................................................................................","5","0.01"
"","94 = DON'T KNOW ...........................................................................................................","24","0.04"
"","97 = REFUSED ..................................................................................................................","111","0.19"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1160","1.96"
"","99 = LEGITIMATE SKIP ...................................................................................................","41721","70.63"
