variable_name,description
PNRANYFLAG,"NOTE: The following 16 variables refer to any use of prescription drugs. Any Use of prescription drugs is defined as either the use of one's own prescription medication as directed by a doctor or the misuse of prescription drugs. Misuse of prescription drugs is defined as use in any way not directed by a doctor, including use without a prescription of one's own medication; use in greater amounts, more often, or longer than told to take a drug; or use in any other way not directed by a doctor. Due to potential underreporting of lifetime prescription drug use, users are cautioned against using the lifetime use or misuse of prescription pain relievers (ever used/ever misused) in analysis."
RCVMHTNSUT,
RXPROVMIS,"The following variable for past year misuse of Provigil Products, RXPROVMIS, was assigned a positive response if a respondent indicated past year misuse of Provigil, or other stimulants that contain Provigil. A negative response was assigned if a respondent was not a past year misuser of prescription stimulants (STMNMYR=0) or if a respondent indicated no past year misuse of Provigil."
PNRANYLIF,"Have you ever, even once, used any prescription pain reliever? Remember, do not report your use of ""over-the-counter"" pain relievers such as aspirin, Tylenol, Advil, or Aleve."
RCVSUTAMHT,
RXSOMAANY,"The following variable for any past year use of Carisoprodol Products, RXSOMAANY, was assigned a positive response if a respondent indicated any past year use of Soma, or past year misuse of other muscle relaxants that contain carisoprodol. A negative response was assigned if a respondent was not a past year user of prescription tranquilizers (TRQANYYR=0) or if a respondent indicated no past year use of Soma."
PNRANYREC,NOTE: PNRANYREC was created from responses of any use in the past 12 months for specific pain relievers and from PNRANYLIF for any lifetime use of pain relievers.
RCVSUTNMHT,
RXSOMAMIS,"The following variable for past year misuse of Carisoprodol Products, RXSOMAMIS, was assigned a positive response if a respondent indicated past year misuse of Soma, or other muscle relaxants that contain carisoprodol. A negative response was assigned if a respondent was not a past year misuser of prescription tranquilizers (TRQNMYR=0) or if a respondent indicated no past year misuse of Soma."
PNRANYYR,
RCVSUTOMHT,NOTE: The following four variables were created by using a combination of variables from the following sections: Recoded Mental Health Services Utilization and Recoded Alcohol and Drug Treatment. Specifications on how the individual Recoded Adult Mental Health Service Utilization variable was defined can be found above. Specifications on how the individual Recoded Alcohol and Drug Treatment variable was defined can be found in the Recoded Alcohol and Drug Treatment section.
RXTEMAANY,"The following variable for any past year use of Temazepam Products, RXTEMAANY, was assigned a positive response if a respondent indicated any past year use of Restoril, or generic temazepam, or past year misuse of other sedatives that contain temazepam. A negative response was assigned if a respondent was not a past year user of prescription sedatives (SEDANYYR=0), if a respondent was not a past year user of any benzodiazepines (IRBZOANYYR=0), or if a respondent indicated no past year use of Restoril and generic temazepam."
PNRMAINRSN,"The following main reason for misusing pain relievers, PNRMAINRSN, is defined based on answers to questions about respondents’ reasons for misusing pain relievers for their last misuse. Respondents could report more than one reason for misusing pain relievers the last time. If they reported more than one reason, then they were asked to report the main reason. If data existed for the main reason question, then that response was considered to be their main reason. If respondents reported only one reason for their last misuse, then that logically was the main reason (i.e., these respondents were not asked the question for their main reason). If respondents reported that some other reason was their main reason for their last misuse, then their response was logically assigned from the write in data. In the documentation below, values of 11-18 in PNRRSMAIN reflect situations where respondents reported more than one reason for their last misuse, their “other” reason for their last misuse was their main reason for their last misuse, but the other reason was the reason specified as one of the eight categories below. 1. Main reason is to relieve physical pain (PNRRSMAIN=1,11), reported only one reason which was to relieve physical pain (PNRRSMAIN=99 and PNRRSPAIN=1), or reported some other reason as their only reason but specified that this other reason was to relieve physical pain (PNRRSMAIN=99 and PNRRSPAIN=3). 2. Main reason is to relax or relieve tension (PNRRSMAIN=2,12), reported only one reason which was to relax or relieve tension (PNRRSMAIN=99 and PNRRSRELX=1), or reported some other reason as their only reason but specified that this other reason was to relax or relieve tension (PNRRSMAIN=99 and PNRRSRELX=3). 3. Main reason is to experiment or see what it’s like (PNRRSMAIN=3,13), reported only one reason which was to experiment or see what it’s like (PNRRSMAIN=99 and PNRRSEXPT=1), or reported some other reason as their only reason but specified that this other reason was to experiment or see what it's like (PNRRSMAIN=99 and PNRRSEXPT=3). 4. Main reason is to feel good or get high (PNRRSMAIN=4,14), reported only one reason which was to feel good or get high (PNRRSMAIN=99 and PNRRHIGH=1), or reported some other reason as their only reason but specified that this other reason was to feel good or get high (PNRRSMAIN=99 and PNRRSHIGH=3). 5. Main reason is to help with sleep (PNRRSMAIN=5,15), reported only one reason which was to help with sleep (PNRRSMAIN=99 and PNRRSSLEP=1), or reported some other reason as their only reason but specified that this other reason was to help with sleep (PNRRSMAIN=99 and PNRRSSLEP=3). 6. Main reason is to help with feelings or emotions (PNRRSMAIN=6,16), reported only one reason which was to help with feelings or emotions (PNRRSMAIN=99 and PNRRSEMOT=1), or reported some other reason as their only reason but specified that this other reason was to help with feelings or emotions (PNRRSMAIN=99 and PNRRSEMOT=3). 7. Main reason is to increase/decrease effects of other drugs (PNRRSMAIN=7,17), reported only one reason which was to increase/decrease the effects of other drugs (PNRRSMAIN=99 and PNRRSDGFX=1), or reported some other reason as their only reason but specified that this other reason was to increase/decrease the effects of other drugs (PNRRSMAIN=99 and PNRRSDGFX=3). 8. Main reason is because hooked or have to have drug (PNRRSMAIN=8,18), reported only one reason which was because they were hooked or had to have the drug (PNRRSMAIN=99 and PNRRSHOOK=1), or reported some other reason as their only reason but specified that this other reason was because they were hooked or had to have the drug (PNRRSMAIN=99 and PNRRSHOOK=3). 9. Main reason is some other reason (PNRRSMAIN=9), or reported only one reason which was a valid other reason listed for pain relievers other than those defined above based on the write in data (PNRRSMAIN=99 and PNRRSSOR=1 and PNRRSOTRS2=9-71). Values of 1-8 that are in the specific other reason level are write in responses that do not correspond to reasons listed for pain relievers but are considered valid reasons so are not excluded. (System Missing): Main reason is unknown (PNRRSMAIN=85,94,98) or reported only one reason and the other pain reliever reason was not a valid reason (PNRRSMAIN=99 and PNRRSSOR=1 and PNRRSOTRS2=985,994,997). (PNRRSDGFX, PNRRSEMOT, PNRRSEXPT, PNRRSHIGH, PNRRSHOOK, PNRRSMAIN, PNRRSOTRS2, PNRRSPAIN, PNRRSRELX,"
RCVYMHPRB,
RXTRAMANY,"The following variable for any past year use of Tramadol Products, RXTRAMANY, was assigned a positive response if a respondent indicated any past year use of Ultram, Ultram ER, Ultracet, generic tramadol, or generic extended-release tramadol, or past year misuse of other pain relievers that contain tramadol. A negative response was assigned if a respondent was not a past year user of prescription pain relievers (PNRANYYR=0) or if a respondent indicated no past year use of Ultram, Ultram ER, Ultracet, generic tramadol, and generic extended-release tramadol."
PNRNDAYPM,
RCVYSUBPRB,
RXTRAMMIS,"The following variable for past year misuse of Tramadol Products, RXTRAMMIS, was assigned a positive response if a respondent indicated past year misuse of Ultram, Ultram ER, Ultracet, generic tramadol, generic extended-release tramadol, or other pain relievers that contain tramadol. A negative response was assigned if a respondent was not a past year misuser of prescription pain relievers (PNRNMYR=0) or if a respondent indicated no past year misuse of Ultram, Ultram ER, Ultracet, generic tramadol, and generic extended-release tramadol."
PNRNM30AL,"NOTE: Responses of ""yes"" in PNRNM30AL were assigned a code of 11 when respondents reported that they misused pain relievers with alcohol in the past 30 days but there was some question from the edited alcohol data about whether they used alcohol in the past 30 days. Analysts are encouraged to check the value of the final imputed alcohol recency IRALCRC when PNRNM30AL=11 to determine whether IRALCRC was assigned a value to indicate that the most recent use of alcohol was within the past 30 days or was more than 30 days ago but within the past 12 months. During the past 30 days, did you use [PRNAMEFILL] in any way a doctor did not direct you to use [PRNUMFILL] while you were drinking alcohol or within a couple of hours of drinking?"
RKFQDBLT,How often do you wear a seatbelt when you drive a car?
RXTRIAANY,"The following variable for any past year use of Triazolam Products, RXTRIAANY, was assigned a positive response if a respondent indicated any past year use of Halcion, or generic triazolam, or past year misuse of other sedatives that contain tirazolam. A negative response was assigned if a respondent was not a past year user of prescription sedatives (SEDANYYR=0), if a respondent was not a past year user of any benzodiazepines (IRBZOANYYR=0), or if a respondent indicated no past year use of Halcion and generic triazolam."
PNRNM30D,"In the past 30 days, that is, from [DATEFILL] up to and including today, did you use [PRNAMEFILL] in any way a doctor did not direct you to use [PRNUMFILL]?"
RKFQPBLT,How often do you wear a seatbelt when you ride in the front passenger seat of a car?
